original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
today s weather forecast is foggy the low temperature of 40f and high of 60f,today in new_york is predicted to be today,3,1
your tennis match is tuesday at 11am,your tennis is on tuesday at 7pm,4,3
you re very welcome,you are welcome,5,5
you re welcome,you re welcome,5,5
not a problem,you are welcome,5,5
we re going to 338_alester_ave there is heavy_traffic but it s just 2_miles away,the is is away,1,1
ok you will headed toward stanford_shopping_center at 773_alger_dr located 4_miles away,the quickest route is the quickest route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route to the route,1,1
saturday it will snow in fresno,it will not snow in fresno this week,3,1
stanford_shopping_center is 4_miles away,the is is 383_university_ave away is away,1,1
anytime,you re welcome,5,5
glad to help,you are welcome,5,5
you re welcome drive carefully,you re welcome,5,5
there is moderate_traffic on the 4_miles route home to 56_cadwell_street,the nearest is is 1_miles away at away,1,2
you are welcome,stanford_shopping_center is welcome,1,3
your tennis_activity is on the_4th at 5pm and your sister will be attending,your tennis_activity is tennis_activity scheduled one at 9am with marie and one on monday at 4pm with your aunt,1,3
you have a conference on the_13th at 9am with hr,your conference is at 3pm,4,3
stanford_express_care is at 214_el_camino_real,the nearest hospital is stanford_childrens_health hospital is located at 214_el_camino_real,3,3
your dinner is 5pm tonight,your have dinner is on at,1,4
your football_activity is on sunday at 9am with your brother,your have a football scheduled for 3pm,1,3
good day,you re welcome,5,4
happy to help,you re welcome,5,4
you re welcome,you are welcome,5,5
we re 5_miles away from p_.f_._changs do you want to go there,there is a is away away away,1,1
taking you to p_.f_._changs,p_.f_._changs is at 113_arbol_dr,3,3
navigation set we should arrive shortly,navigation set to p_.f_._changs,4,3
there is no fog in the forecast for exeter next_week,it will not be foggy in exeter on exeter,3,3
it will be dry wednesday in new_york,it will not be dry in new_york on tuesday,4,1
the addres of p_.f_._changs is 669_el_camino_real,p_.f_._changs is at 113_arbol_dr,1,3
happy to help,you are welcome,5,5
no problem,you are welcome,5,5
here are directions to cafe_venetia,the nearest cafe is 6_miles away at 819_alma_st,3,1
what city would you like to hear this weather information for,there will be no chance of snow this week in,3,2
unfortunately there is heavy_traffic but it s just 2_miles away you should be able to reach it quickly anyway,the hope is is,1,1
the football game is on thursday,your have a football scheduled for 3pm,4,2
269_alger_dr is the location of cafe_venetia,you re welcome,5,1
it will not snow in san_mateo this week,there will be no chance of snow this week in san_mateo,3,1
you re welcome,you re welcome,5,5
you re welcome,you are welcome,5,5
okay which one i have one for the_12th at 9am and one for the_4th at 5pm,your optometrist_appointment is optometrist_appointment scheduled one at 9am with marie and one on the_18th at 10am,1,1
what city shall i check for you,what city are you want the weather the weather for,3,2
palo_alto_garage_r is at 481_amaranta_ave,the nearest parking_garage is dish_parking at 481_amaranta_ave,3,1
today is not humid in exeter it is stormy low of 40f high of 50f,it is not gonna be humid in exeter right now,5,1
you re welcome we should arrive shortly,you re welcome,5,5
i will send on your screen the quickest route sure there is heavy_traffic now and we will have to make the route slightly longer,the is is to dish_parking,1,1
you re welcome,you re welcome,5,5
you re welcome,you are welcome,5,5
sure it s 56_cadwell_street you can see it on your screen,you re welcome,5,1
the nearest one is palo_alto_garage_r it s just 1_miles away,the is is away palo_alto_garage_r away is,1,3
your home is 4_miles away but there is heavy_traffic on our way i sent the best available route on your screen,the quickest route home is home,2,3
the football game is wednesday at 10am,your football game is on friday at 1pm,4,3
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
you re welcome drive safely,you re welcome,5,5
my pleasure,you are welcome,5,5
your next meeting is monday at 3pm,your next meeting is at 1pm,4,2
what location would you like the weather information for,there will be clear_skies in in today,3,1
there is a travelers_lodge one miles away,the is is away away away away,1,1
today in san_jose there will be an overcast co clear_skies,there will be be clear_skies in san_jose today,3,3
gps set for shortest route,gps set for travelers_lodge and gps set,2,5
travelers_lodge 333_arbol_dr,the is is away away,1,1
no problem,anytime,5,5
have a good day,thanks re welcome,1,5
on friday the highest_temperature in mountain_view is predicted to be 50f,what will not be in in in in,1,1
your home is at 56_cadwell_street,home is 1_miles away at 5671_barringer_street,3,2
what city do you want the weather for,what city are you interested in,4,3
you have a dentist_appointment on friday at 7pm,your dentist_appointment is on the_3rd at 10am,2,3
no problem,setting gps to 56_cadwell_street now,4,1
it will be dry other than sunday and the temperatures are expected to be between 70f - 100f monday and tuesday 30f - 40f wednesday 40f - 60f thursday and 80f - 100f friday to sunday,the weather forecast for exeter in exeter exeter,2,1
you are welcome,you re welcome,5,5
anytime,you are welcome,5,5
i m afraid that cafe_venetia is the best option in this moment i sent on your screen the directions to reach there through another route,there is cafe is palo_alto_cafe and there is no_traffic on our way,1,1
for which one i have two one on the_8th at 11am and one on wednesday at 11am,your lab_appointment is on at at at on at,1,1
you got it gps set,setting gps for the route to the address,2,5
the nearer cafe is cafe_venetia it s 2_miles away and there is a car_collision_nearby,the nearest barista is 1_miles away at away would you like directions there,3,1
you re welcome,you are welcome,5,5
we re 3_miles away from midtown_shopping_center and there is no_traffic on our way,there is a is from away away,1,1
you re welcome drive safely,you re welcome,5,5
you re welcome,you are welcome,5,5
your next meeting is with your boss on the_5th at 2pm,your next meeting is at 1pm,3,3
setting navigation now for the quickest route there is a road_block_nearby so drive carefully,there is no_traffic to cafe_venetia,3,1
cafe_venetia is 2_miles away at 269_alger_dr,there is a starbucks 1_miles away,4,1
valero is at 200_alester_ave,valero is at 200_alester_ave,3,2
valero is 4_miles away,chevron is gas_station away chevron is at away,1,1
you re welcome,you are welcome,5,5
no problem,you re welcome,5,5
anytime,you re welcome,5,5
i sent the best possible route on screen but there will be heavy_traffic anyway i m sorry,i sent the route to your screen there is no_traffic on our way i sent the info on your screen,2,2
setting navigation now there is heavy_traffic on the way so drive carefully,the address is 383_university_ave,3,1
trader_joes is 2_miles away at 408_university_ave there is currently heavy_traffic on the route,there is a away from away away,1,1
what city are you wanting to know the temperature for,what city are you interested in,4,3
you re welcome,you re welcome,5,5
you re welcome drive safely,you re welcome,5,5
the lowest_temperature in fresno this week is predicted to be 60f the highest 100f,it will not be in in fresno on,1,3
no problem,you re welcome,5,5
which city are you wanting to know the weather for,what city are you interested in,4,4
what city would you like weather information about,what city are you interested in,4,4
it is not hailing in manhattan the forecast says it is dry today,it is not gonna be warm in manhattan,4,3
it will be windy tomorrow in seattle,it will not be windy in in,4,3
in san_jose it is expected to be between 40f - 60f monday and tuesday 70f - 80f wednesday 90f - 100f thursday 70f - 90f friday 30f - 40f saturday and 40f - 60f on sunday,the temperature in san_jose is on tuesday,3,3
any time,you re welcome,5,5
you are welcome,you are welcome,5,5
you are welcome,you re welcome,5,5
teavana is the fastest journey because there is no_traffic on the way there cafe_venetia has moderate_traffic should we go to teavana,there is is away,1,1
it will be cloudy with a low of 90f and a high of 100f in compton on sunday,it is not gonna be warm in compton,3,1
teavana is located at 145_amherst_st,you re welcome,5,1
what city are you interested in,what city do you want the weather for,3,5
you re welcome glad i could be of assistance,you re welcome,5,5
there is 2 tea shops near you teavana is 4_miles away and cafe_venetia is 5_miles away which one do you want,there is a starbucks nearby,5,1
i sent on your screen its position and the fastest route to get there,i sent welcome,1,1
anytime,you re welcome,5,5
your lab_appointment is on the_5th and your aunt will be attending,your lab_appointment is on the_8th at 7pm,1,2
navigating you to ravenswood_shopping_center,you re welcome,5,1
you re all set drive carefully,setting navigation to safeway now,4,1
we are 4_miles away from whole_foods and from safeway which one do you prefer,the closest grocery_store is willows_market which is 2_miles away,1,1
good day,you re welcome,5,1
there are the ravenswood_shopping_center and the stanford_shopping_center both 3_miles away do you want me to flip a coin between them or will you pick where to go,the nearest mall is 6_miles away at 792_bedoin_street,3,1
the address to ravenswood_shopping_center is 434_arastradero_rd,you re welcome,5,1
safeway is located at 452_arcadia_pl,whole_foods is 2_miles away at 409_bollard_st,3,1
what days are you interested in,what city are you interested in,4,3
the forecast says there will be snow in fresno there is no mention of clear_skies on wednesday,there will not be be in in in in,1,1
the lab_appointment is schedule for 2pm on the_5th and your aunt will be attending,you are welcome,5,1
there is cafe_venetia that s 4_miles away at 269_alger_dr,there is a away from away,1,1
it will be stormy on monday the lowest_temperature on tuesday hot on wednesday the hottest temperatures on thursday and friday snow on saturday and clear_skies on sunday in durham,it will not be in in in in,1,1
you re welcome,you re welcome,5,5
you are welcome,you re welcome,5,5
you are welcome,it will not snow in durham on sunday,5,1
taking you home,the address is 56_cadwell_street,5,1
there is no_traffic on our route i ve set the navigation there,there is no_traffic to cafe_venetia,4,2
your gps has been set for home,setting gps to 56_cadwell_street now,4,3
the weather forecast for oakland does not show rain right now,it is not raining in oakland now,4,3
what city would you like weather information about,what city do you want the weather for,4,3
your address is 5671_barringer_street we re 3_miles away from home now,your home is at 56_cadwell_street,4,1
you re welcome,you re welcome,5,5
you re welcome happy to help,you re welcome,5,5
gps set and have a great day,setting navigation to whole_foods now,4,4
the quickest route to whole_foods at 819_alma_street does not have any traffic,the is is away at away,1,1
tell me what city you would like to know about snow today,what city are you interested in,4,3
whole_foods is 4_miles away,there is a is from away away,1,1
coupa is 5_miles away,there is a starbucks 1_miles away,5,1
it will not snow in cleveland today,it will not snow in cleveland cleveland today,3,3
you are welcome,you are welcome,5,5
you are welcome,you are welcome,5,5
there is the midtown_shopping_center 3_miles away and no_traffic on the route set this destination on your gps,the nearest mall is town_and_country,1,1
the_westin is 6_miles away,hotel_keen is located at,2,1
navigating to the_westin,hotel_keen is located at,2,1
i will pick the shortest route available for you don t worry do you want to get the info on your screen,palo_alto_cafe is located at away,2,1
setting gps to midtown_shopping_center anything else,the address is 383_university_ave,4,1
the address is 329_el_camino_real,you re welcome,5,1
no problem,you re welcome,5,1
i sent the route on your screen you re welcome,you re welcome,5,3
there is valero 7_miles away with moderate_traffic on our way,valero is 2_miles away at 783_arcadia_pl,3,2
the_westin is located 7_miles away with no_traffic setting directions now to 329_el_camino_real,the comfort_inn is 6_miles away at 333_arbol_dr,2,1
setting navigation now,you re welcome,5,1
there is moderate_traffic on our way i sent the route on your screen,i sent the route to your screen the route to reach there is no_traffic on our way,3,2
you re welcome happy to be of assistance,gps set to,3,1
your next lab_appointment is next monday at 2pm,your lab_appointment is on the_8th at 7pm,3,2
valero is at 200_alester_ave,valero is at 200_alester_ave,3,5
you re welcome,you re welcome,5,5
i sent all the info on your screen drive carefully,there is no_traffic to home,3,1
there is currently snow in san_francisco,what city are you interested in san_francisco,3,3
there is heavy_traffic in this moment but we re just 1_miles away it shouldn t take too long to reach there,home is 1_miles away,3,3
what city can i check for snow for you,it will not snow in in this week,3,1
you re welcome,you re welcome,5,5
you are welcome,you re welcome,5,5
happy to help,you are welcome,5,5
snow is predicted to fall on saturday in alameda,it will not snow snow in alameda,3,2
ok driver making a route to willows_market and avoiding the car accident,setting navigation to 819_alma_st now,3,1
yes it is hope you can have your coffee soon,there is no_traffic to teavana,4,1
we re 3_miles away from willows_market but there is a car_collision_nearby,the closest grocery_store is willows_market which is 2_miles away,2,2
i m sorry but there are no other options nearby,the next is is is now,1,1
you are welcome driver,you re welcome,5,5
the starbucks is located at 792_bedoin_street setting navigation now,you re welcome,5,1
the nearest starbucks is 3_miles away there is a road block on its way so i already sent on your screen another route to reach faster,there is no starbucks nearby,3,3
you re welcome,you are welcome,5,5
i sent the info and the quickest info on your screen you re welcome,the address is 481_amaranta_ave,3,1
your boss will be at the meeting on monday at 1pm,your meeting is at 3pm at 1pm,3,2
the nearest parking_garage is palo_alto_garage_r it s 1_miles away navigate you there,the closest parking_garage is palo_alto_garage_r it s 2_miles away,2,3
on friday on san_francisco the weather will be dry with a high of 80f,there will not be be in san_francisco on san_francisco,2,3
what city can i give you the weather forecast for,what city do you want the weather forecast for,3,4
you re welcome drive safely and enjoy,you re welcome,5,5
happy to help,you are welcome,5,5
anytime,you re welcome,5,5
your conference is set for monday with your boss to go_over_budget,your conference is at 3pm at 6pm with the at,3,2
today is gonna be dry on oakland,it will not be humid in oakland today,4,1
the conference is with your boss,you re welcome,5,1
jack lives at 864_almanor_ln,the nearest is away is away away at away,1,1
you re welcome,you re welcome,5,5
no problem,you re welcome,5,5
you re welcome don t forget it s held in conference_room_102,you re welcome,5,1
you re welcome,jack s house is 1_miles away at 347_alta_mesa_ave,3,5
for which one i have two one at 6pm and one at 3pm,your conference is at 3pm at 6pm with the and one at 6pm with the and one on the,1,1
i m sorry chevron is the only gas_station i am able to locate,valero is at 200_alester_ave,3,1
the travelers_lodge is closest to you at 6_miles away in moderate_traffic would you like directions there,the nearest is away is away away away,1,1
i m setting the gps for 333_arbol_dr,you re welcome,5,1
the event is on sunday at 6pm in conference_room_102 and management will be attending,the conference is on the at on on,1,2
chevron is 6_miles away,chevron is located at 783_arcadia_pl,4,3
no problem goodbye,you re welcome,5,5
you are welcome,you re welcome,5,5
setting directions to 434_arastradero_rd now,setting navigation now,5,3
stanford_express_care is 7_miles away though there is a car_collision_nearby would you like directions there,stanford_express_care is located at 214_el_camino_real,3,3
would you prefer stanford_shopping_center which is 7_miles away with no_traffic or ravenswood_shopping_center which is 1_miles away with a road_block_nearby,the nearest mall is from away at away,1,1
its address is 783_arcadia_pl i sent it on your screen,valero is at 200_alester_ave,3,1
you are welcome,you re welcome,5,5
okay heading to 214_el_camino_real,the nearest hospital is stanford_childrens_health at,4,1
you re welcome drive safely,you re welcome,5,5
no problem,you re welcome,5,5
the closest is pizza_chicago 5_miles away at 915_arbol_dr would you like directions there,the nearest is is 1_miles away at away,2,1
here is the shortest route to pizza_chicago,the is the closest is is away at,1,1
the closest parking_garage is civic_center_garage located 4_miles away at 270_altaire_walk,the closest parking_garage is palo_alto_garage_r it s 2_miles away,4,3
there is a chef_chu_s and a tai_pan,there is a panda_express 1_miles away,4,1
that would be chef_chu_s,there is a is away,1,1
chef_chu_s is at 593_arrowhead_way,chef_chu_s is located at 593_arrowhead_way,3,3
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
in what city are you asking,what city are you want the the weather for,4,3
it will be cloudy but not foggy in redwood_city on tuesday,it will not be foggy in redwood_city on sunday,5,3
tom lives at 580_van_ness_ave,the is 1_miles away from away,1,1
i did you re welcome,you re welcome,5,1
you re very welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
glad i could help out,you are welcome,5,5
the temperature in durham will be lowest_temperature low of 70f high of 90f tuesday highest_temperature low of 40f high of 60f thursday,the temperature in durham is the low of the high,1,2
this week the highest_temperature in cleveland will be 100f on saturday,what will be be in in cleveland on on,1,2
hotel_keen is a rest_stop located 3_miles away there is a car_collision_nearby but should delay you to long,the nearest is is 1_miles away at away,2,1
friday at 3pm,your next conference is on tuesday at 6pm,3,1
you will find starbucks at 792_bedoin_street,the address is 792_bedoin_street,3,3
the address for hotel_keen is 578_arbol_dr 3_miles away with a car_collision_nearby,the is is the route to the,1,1
we re 5_miles away from starbucks do you like their tea,there is no starbucks nearby,5,1
you re welcome,you are welcome,5,5
you re welcome,you re welcome,5,5
there will be no drizzle in redwood_city this weekend,there will be be drizzle in redwood_city this weekend,3,1
for what city are you interested in,what city are you interested in,4,3
i sent the quickest route on your screen,setting navigation to the quickest route to set,4,2
it will not be windy in cleveland next_week,it will not be windy cleveland cleveland cleveland,4,3
if you drive carefully it will be for sure,you re welcome,5,1
you re welcome drive safely,you re welcome,5,5
no problem,you re welcome,5,5
no problem,no problem,5,5
i m sorry i did and i sent the address on your screen drive carefully,you re welcome,5,1
does stanford_express_care have heavy_traffic nearby,stanford_express_care is located at 611_ames_ave,5,3
does stanford_express_care have heavy_traffic nearby,stanford_express_care is located at 611_ames_ave,5,3
yes stanford_childrens_health is 1_miles away with no_traffic do you want the address,no problem,5,1
your agenda for your meeting today is go_over_budget,the meeting is is scheduled at 10am,4,1
you have an optometrist_appointment today at 1pm,your have is today,1,1
stanford_express_care is nearby,the hospital hospital is located at 214_el_camino_real,4,1
the travelers_lodge is located 4_miles away at 333_arbol_dr would you like directions there,the is is away the_westin,1,1
what city do you want the weather for,what city are you interested in,3,3
it won t be overcast or cloudy at all this week in carson,it will not be overcast in carson this week,3,3
ok i am setting gps for 333_arbol_dr,the is is away,1,1
grand_rapids on friday will be windy between 60f - 70f,it is not in grand_rapids in,1,2
is there a specific day you would like me to check the weather in grand_rapids for,what city are you in in grand_rapids the weather,3,2
you re welcome have a great day,you re welcome,5,5
you are welcome,you re welcome,5,5
you are welcome,you re welcome,5,5
currently you are taking_medicine on two occasions one is on the_13th at 4pm with your mother the other is on monday at 11am with marie,your have two medicine scheduled one at 3pm,1,2
what city are you asking about,what city are you interested in,3,3
tomorrow will not be hot in atherton it will be dry low of 30f high of 50f,it will not be hot in atherton tomorrow,3,3
you re welcome,you re welcome,5,5
palo_alto_cafe is 4_miles away and serves coffee and tea do you want the address,there is a starbucks nearby,5,1
you re welcome,you re welcome,5,5
no problem,you re welcome,5,5
palo alto is located at 436_alger_dr,the address is 792_bedoin_street,3,1
coupa is nearby and serves tea,the is is away away the_westin,1,1
what city do you want to hear the forecast for,what city are you interested in,3,3
