original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
the quickest route is 347_alta_mesa_ave at 5_miles we will be there shortly,i sent the route to 830_almanor_ln,4,1
displaying directions now,you re welcome,5,5
you are welcome,you are welcome,5,5
the only route has heavy_traffic is that alright,setting navigation to now,3,1
moderate_traffic is listed to peets_coffee,there is no_traffic the route to 2_miles,3,1
today you have a 7pm meeting with hr to discuss_the_merger,your next is is on meeting at at 7pm,4,5
peets_coffee also serves tea they are 2_miles away at 9981_archuleta_ave,there is a starbucks away teavana away,5,2
there is no starbucks close but there is two others one is coupa that is 6_miles away and the other is cafe_venetia which is 3_miles away which one do you want,there is starbucks nearby,5,1
jill s house is located 5_miles away at 347_alta_mesa_ave,jill lives at 347_alta_mesa_ave,5,5
here are directions to 5672_barringer_street,there is a away away,4,1
you re welcome,you re welcome,5,5
i sent the info on your screen drive carefully,i sent the route to the quickest route,5,3
you are welcome,you are welcome,5,5
you re welcome glad i could help,you re welcome,5,5
you re welcome,you re welcome,5,5
there is coupa located at 394_van_ness_ave there is moderate_traffic but you re just 6_miles away,the is is located at 792_bedoin_street,2,1
valero is located at 200_alester_ave,you is located at 783_arcadia_pl,2,1
the address is 792_bedoin_street i sent the info on your screen drive carefully,the is is at 10_ames_street,2,1
setting gps for quickest route to valero gas_station now,setting navigation to 5_miles now,5,1
navigating you to starbucks,the address is 383_university_ave,5,1
it will be dry today snowy on tuesday dew on wednesday warm on thursday misty on friday snow on saturday and cloudy on sunday in grand_rapids,in grand_rapids it will be 80f 70f 90f - 40f 60f,3,1
taking you home,there is a away route to home,5,5
i do not have info on the local starbucks but i do see another coffee place would you like to hear info on it,there is starbucks nearby,5,4
we re 5_miles away from starbucks would you like to go there,the nearest is away at away,3,1
the nearest gas_station is located 5_miles away need more info,the nearest gas_station is chevron is shell away,5,3
what city would you like the forecast for,what city do you want the weather for,5,5
you re welcome i am always happy to help,you re welcome,5,5
you re very welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
got it will do,setting navigation to 5671_barringer_street now,5,1
chef_chu_s is 3_miles away through moderate_traffic,i sent the route on your screen drive carefully,5,1
you re welcome hope you have a great day,you re welcome,5,5
chef_chu_s is located at 593_arrowhead_way,271_springer_street is at 669_el_camino_real,5,1
chef_chu_s is closer,there is chef_chu_s the route to 830_almanor_ln,5,3
home is 5671_barringer_street anything else i can help you with,10_ames_street is at 5671_barringer_street,5,3
the temperature in compton will be between 70f and 100f on monday and friday during the other days of the week it will remain between 30f and 70f,in the temperature between 80f 90f - 40f 100f 70f - 60f 80f - 100f 80f - 40f 100f - 60f 90f - 100f 60f on sunday 80f - 100f 90f - 70f,1,1
anytime,you re welcome,5,5
the temperature in los_angeles this week reaches a low of 40f and the highest will be 100f,in the temperature will be week be 80f - 40f 90f 100f - 60f 70f 80f - 100f 40f 90f - 60f 100f on monday 80f - 60f 100f on wednesday 40f - 80f 90f - 100f thursday 70f - 60f - 70f 60f - 40f on sunday 90f - 30f 90f - 80f on sunday 30f - 70f 40f on sunday 90f - 20f 40f on sunday,4,1
what city are you interested in,what city do you want the weather for,5,5
what city are you interested in,what city do you want the weather for,5,5
it will not be humid in fresno next_week,it will not be humid in in in,3,2
we re 3_miles away from chef_chu_s and 6_miles away from mandarin_roots,there is a panda_express chef_chu_s away,2,2
anytime,you re welcome,5,5
you re welcome,you re welcome,5,5
okay heading to pizza_chicago,i sent the route on your screen drive carefully,5,4
i sent all the info on your screen drive carefully,i sent the route on your screen drive carefully,5,4
you re welcome,you re welcome,5,5
it will be rainy the first half of the week and then foggy the second and dry over the weekend in compton,the temperature in will be compton in the 80f,2,1
the address is 915_arbol_dr would you like directions there,776_arastradero_rd is located at 915_arbol_dr,1,3
taking you to jack s house,the address is 864_almanor_ln,5,3
you re welcome,you re welcome,5,5
pizza_chicago is 2_miles away,the is pizza_chicago is at 776_arastradero_rd away,5,2
you have two meeting scheduled one at 4pm in conference_room_102 to discuss_the_company_picnic and one at 6pm in 100_conference_room to go over the quarterly report,your next is is on the_3rd at 1pm,2,1
it will not be windy in atherton in the next_few_days,it will not be windy in in in,2,5
jacks_house is at 864_almanor_ln,your lives at at 580_van_ness_ave,1,1
for what city would you like to know that,what city do you want the weather for,5,5
could you please let me know what place i am looking up the data for,what city do you want the weather for,5,4
your dinner reservation is at 5pm,your dinner is at 7pm 8pm,3,2
all right navigating to panda_express at 842_arrowhead_way,i sent the route on your screen drive carefully,5,2
yes panda_express seems to be the fastest,i sent the info on your screen drive carefully,5,2
great glad i could help have a great day we will be there soon,you re welcome,5,3
no problem my driver,you re welcome,5,5
sigona_farmers_market is located 4_miles away with no_traffic it s located at 638_amherst_st,i sent the info on your screen,5,1
this week boston does not have any weather predictions of it being cloudy,it will be cloudy in in in,3,3
you are welcome,you are welcome,5,5
happy to help,you are welcome,5,5
you re very welcome,you re welcome,5,5
p_.f_._changs is 3_miles away but there is currently heavy_traffic on the route panda_express is farther at 4_miles away but there isn t any traffic,panda_express is 2_miles at 113_arbol_dr,5,1
your meeting is scheduled for 2pm tomorrow the agenda is to discuss_the_merger,your meeting is at 1pm 7pm,3,3
your doctorappointment at 2pm your aunt will be going,your next doctorappointment is on tuesday at at 1pm,3,2
it will be 80f on tuesday in brentwood,it will be brentwood in in in,3,2
the_4th at 1pm with tom the_10th at 9am with ana the_13th at 9am with your father the_5th at 2pm with alex and the_10th at 4pm with your sister,your next doctorappointment is on tuesday at 1pm,3,2
there are whole_foods 2_miles away and sigona_farmers_market 4_miles away where do we go,the nearest grocery_store is whole_foods away,4,2
i have a few chinese_restaurant listed which one would you like to know about,there is a panda_express away,3,1
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
you are welcome,you re welcome,5,5
it will be between 20f - 30f in alhambra on friday,you to be a great day,2,1
certainly setting navigation details now there s a car_collision_nearby so take care on the roads,i sent the info on your screen drive carefully,5,3
you are welcome,you re welcome,5,5
they will be there at 1pm,your next is is at at at 7pm,2,1
anytime,you re welcome,5,5
on friday there will be clear_skies in alhambra,the temperature in will be be 40f 60f - 100f 80f 90f - 40f 40f 100f - 60f 80f,2,1
jon and jeff will be attending your tennis_activity,your next doctorappointment is on tuesday at at 1pm,5,1
the weather in fresno over the next 48 hours will be cloudy with snow,in new_york it will be fresno 70f on monday and 30f on tuesday,3,2
what city should i find friday s temperature for,what city do you want the weather for,5,2
jills_house is located at 347_alta_mesa_ave,tom is house at 864_almanor_ln,1,1
midtown_shopping_center is the closest shopping_center to you would you like the address,the nearest is away at away,2,1
there isn t any rain predicted to fall in redwood_city this week,it will not be raining in in in,2,3
you re welcome,you re welcome,5,5
sending the address for the midtown_shopping_center at 338_alester_ave to your gps,setting navigation to set the gps to 436_alger_dr,3,1
not a problem,you re welcome,5,4
you are welcome,you re welcome,5,5
ok you will headed toward stanford_shopping_center at 773_alger_dr located 4_miles away,there is stanford_shopping_center the route to 338_alester_ave,4,4
anytime,you are welcome,5,5
we re going to 338_alester_ave there is heavy_traffic but it s just 2_miles away,the address is 5671_barringer_street,3,1
today s weather forecast is foggy the low temperature of 40f and high of 60f,the weather for for is today with a low of 40f and high of 40f,1,2
glad to help,you re welcome,5,4
you re very welcome,you are welcome,5,5
you re welcome drive carefully,you re welcome,5,5
did you want the current weather,what city would you like to know the weather for,5,3
saturday it will snow in fresno,it will not be snow in in in,3,4
your tennis match is tuesday at 11am,your next doctorappointment is at 1pm,3,1
stanford_shopping_center is 4_miles away,the nearest 2_miles is midtown_shopping_center away,3,2
there is moderate_traffic on the 4_miles route home to 56_cadwell_street,there is a away away but there is a car_collision_nearby,2,1
navigation set we should arrive shortly,navigation set to 5_miles,5,4
the addres of p_.f_._changs is 669_el_camino_real,the address is 842_arrowhead_way 669_el_camino_real,4,3
taking you to p_.f_._changs,setting navigation to now,5,1
you re welcome,you re welcome,5,5
no problem,you re welcome,5,5
happy to help,you re welcome,5,5
happy to help,you are welcome,5,5
we re 5_miles away from p_.f_._changs do you want to go there,there is a panda_express away,5,1
good day,you re welcome,5,5
your tennis_activity is on the_4th at 5pm and your sister will be attending,you have two scheduled one on the_3rd at 1pm with 4pm and one on the_8th at 7pm with jeff,1,1
there is no fog in the forecast for exeter next_week,it will not be foggy in in in,3,4
stanford_express_care is at 214_el_camino_real,stanford_childrens_health is at 214_el_camino_real,5,5
it will be dry wednesday in new_york,it will not be dry in in in,3,3
you have a conference on the_13th at 9am with hr,your next conference is on the_3rd at 1pm,3,1
your dinner is 5pm tonight,your next is is at at at,1,1
your football_activity is on sunday at 9am with your brother,your next is is at at at,1,1
you re welcome,you re welcome,5,5
269_alger_dr is the location of cafe_venetia,819_alma_st is at address,2,1
you re welcome we should arrive shortly,you re welcome,5,5
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
unfortunately there is heavy_traffic but it s just 2_miles away you should be able to reach it quickly anyway,there is cafe_venetia on the route to,3,2
it will not snow in san_mateo this week,there is a snow in in the,3,1
you re welcome,you re welcome,5,5
today is not humid in exeter it is stormy low of 40f high of 50f,it will be humid in in be 40f in,2,1
here are directions to cafe_venetia,the nearest is 819_alma_st away at 6_miles,3,1
okay which one i have one for the_12th at 9am and one for the_4th at 5pm,your next is scheduled on the_3rd at 1pm 7pm,2,1
i will send on your screen the quickest route sure there is heavy_traffic now and we will have to make the route slightly longer,there is no_traffic the route to palo_alto_garage_r,3,1
what city would you like to hear this weather information for,what city do you want the weather for,5,4
what city shall i check for you,what city do you want the weather for,5,4
the football game is on thursday,your next is is at at at 7pm,1,1
palo_alto_garage_r is at 481_amaranta_ave,stanford_oval_parking is dish_parking away,1,1
you re welcome drive safely,you re welcome,5,5
you re welcome,you re welcome,5,5
sure it s 56_cadwell_street you can see it on your screen,the address is 5671_barringer_street 10_ames_street,2,1
no problem,you re welcome,5,5
have a good day,you re welcome,5,5
gps set for shortest route,there is moderate_traffic the route to travelers_lodge,3,1
today in san_jose there will be an overcast co clear_skies,it will be today in on monday,1,1
you re welcome,you re welcome,5,5
travelers_lodge 333_arbol_dr,578_arbol_dr is at 113_arbol_dr,2,1
my pleasure,you are welcome,5,5
your next meeting is monday at 3pm,your next meeting is scheduled on the_3rd at 1pm 4pm,3,3
there is a travelers_lodge one miles away,hotel_keen is the_westin away,2,1
what location would you like the weather information for,what city are you want the weather for,5,5
your home is 4_miles away but there is heavy_traffic on our way i sent the best available route on your screen,there is a away away but there is a car_collision_nearby,2,2
the football game is wednesday at 10am,the is the weather for is at 7pm,2,1
the nearest one is palo_alto_garage_r it s just 1_miles away,stanford_oval_parking is dish_parking away,3,1
you re welcome drive safely,you re welcome,5,5
you are welcome,no problem,5,5
you re welcome,you re welcome,5,5
i m afraid that cafe_venetia is the best option in this moment i sent on your screen the directions to reach there through another route,i sent the route to the route to cafe_venetia,5,3
you got it gps set,setting navigation to midtown_shopping_center,5,3
anytime,you re welcome,5,5
no problem,you re welcome,5,5
it will be dry other than sunday and the temperatures are expected to be between 70f - 100f monday and tuesday 30f - 40f wednesday 40f - 60f thursday and 80f - 100f friday to sunday,it is exeter in 90f in 60f 40f,2,1
you re welcome,you are welcome,5,5
for which one i have two one on the_8th at 11am and one on wednesday at 11am,your next lab_appointment is on the_3rd at 1pm 7pm,3,1
your home is at 56_cadwell_street,home is at 10_ames_street,5,1
on friday the highest_temperature in mountain_view is predicted to be 50f,there will be be friday in in in,2,2
what city do you want the weather for,what city do you want the weather for,5,5
we re 3_miles away from midtown_shopping_center and there is no_traffic on our way,there is a away away,2,1
you have a dentist_appointment on friday at 7pm,your dentist_appointment is on the_3rd at 7pm,5,4
the nearer cafe is cafe_venetia it s 2_miles away and there is a car_collision_nearby,the nearest is away at away,2,1
you re welcome,you re welcome,5,5
you re welcome drive safely,you re welcome,5,5
anytime,you re welcome,5,5
no problem,you re welcome,5,5
no problem,you re welcome,5,5
setting navigation now there is heavy_traffic on the way so drive carefully,there is no_traffic the route to the quickest route,3,4
you re welcome,you are welcome,5,5
i sent the best possible route on screen but there will be heavy_traffic anyway i m sorry,there is heavy_traffic the route to the quickest route,2,4
setting navigation now for the quickest route there is a road_block_nearby so drive carefully,there is cafe_venetia the route to 269_alger_dr,3,1
the lowest_temperature in fresno this week is predicted to be 60f the highest 100f,in the temperature between 80f 90f - 40f 100f 60f - 70f 80f - 100f 80f - 40f 100f - 60f 40f - 100f 60f on sunday 90f - 80f 80f - 100f 60f on sunday,2,1
your next meeting is with your boss on the_5th at 2pm,your next meeting is scheduled conference_room_100 on the_3rd at 4pm with management,5,1
valero is at 200_alester_ave,valero is at 783_arcadia_pl,5,1
what city are you wanting to know the temperature for,what city do you want the weather for,5,5
trader_joes is 2_miles away at 408_university_ave there is currently heavy_traffic on the route,sigona_farmers_market is whole_foods away,3,1
cafe_venetia is 2_miles away at 269_alger_dr,teavana is starbucks away,2,1
valero is 4_miles away,there is a valero away,5,3
you re welcome glad i could be of assistance,you re welcome,5,5
teavana is located at 145_amherst_st,midtown_shopping_center is at 436_alger_dr,2,1
i sent on your screen its position and the fastest route to get there,i sent the route on your screen drive carefully,5,5
you are welcome,you re welcome,5,5
anytime,you re welcome,5,5
you are welcome,you re welcome,5,5
teavana is the fastest journey because there is no_traffic on the way there cafe_venetia has moderate_traffic should we go to teavana,there is 4_miles at 338_alester_ave,4,1
it will be windy tomorrow in seattle,it will be windy in in in,3,4
any time,you re welcome,5,5
it will be cloudy with a low of 90f and a high of 100f in compton on sunday,in the temperature will be sunday - 80f 90f 40f - 100f 90f 80f - 100f 60f,5,4
in san_jose it is expected to be between 40f - 60f monday and tuesday 70f - 80f wednesday 90f - 100f thursday 70f - 90f friday 30f - 40f saturday and 40f - 60f on sunday,the temperature in will be san_jose be 80f - 40f 90f 100f - 80f 70f 60f - 100f 40f 90f - 60f 80f,2,1
which city are you wanting to know the weather for,what city do you want the weather for,5,4
what city would you like weather information about,what city do you want the weather for,5,4
what city are you interested in,what city do you want the weather for,5,4
it is not hailing in manhattan the forecast says it is dry today,there is no in in the forecast for,2,1
there is 2 tea shops near you teavana is 4_miles away and cafe_venetia is 5_miles away which one do you want,there is a starbucks nearby,5,1
good day,you re welcome,5,4
the address to ravenswood_shopping_center is 434_arastradero_rd,792_bedoin_street is located at 3_miles,5,1
you are welcome,you are welcome,5,5
you re welcome,you re welcome,5,5
navigating you to ravenswood_shopping_center,setting navigation to stanford_shopping_center now,5,5
you re all set drive carefully,i sent the route to the quickest route,4,4
the lab_appointment is schedule for 2pm on the_5th and your aunt will be attending,you re welcome,5,1
you are welcome,you re welcome,5,5
safeway is located at 452_arcadia_pl,there is whole_foods on the route to 408_university_ave,5,1
it will be stormy on monday the lowest_temperature on tuesday hot on wednesday the hottest temperatures on thursday and friday snow on saturday and clear_skies on sunday in durham,it will be week in 40f in 40f on monday,5,1
your lab_appointment is on the_5th and your aunt will be attending,your next is on the_3rd on the_10th at 1pm,2,1
what days are you interested in,what city are you want the weather for,5,5
the forecast says there will be snow in fresno there is no mention of clear_skies on wednesday,there will be no be wednesday in in,3,1
there are the ravenswood_shopping_center and the stanford_shopping_center both 3_miles away do you want me to flip a coin between them or will you pick where to go,there is a away away 792_bedoin_street away,3,1
we are 4_miles away from whole_foods and from safeway which one do you prefer,the nearest grocery_store is whole_foods away,3,3
there is cafe_venetia that s 4_miles away at 269_alger_dr,there is a starbucks away teavana away,3,1
you re welcome happy to help,you re welcome,5,4
your gps has been set for home,there is 5671_barringer_street on the route to the route,2,1
you re welcome,you re welcome,5,5
you are welcome,you re welcome,5,5
gps set and have a great day,navigation set to whole_foods,5,5
you are welcome,you re welcome,5,5
there is no_traffic on our route i ve set the navigation there,there is 4_miles the route to 792_bedoin_street,3,1
your address is 5671_barringer_street we re 3_miles away from home now,your address is 10_ames_street,4,1
the weather forecast for oakland does not show rain right now,there is no in the forecast for,3,1
it will not snow in cleveland today,it will be snow in on monday in,3,1
taking you home,the is is away at 5671_barringer_street,2,1
the quickest route to whole_foods at 819_alma_street does not have any traffic,i is located at 611_ames_ave,2,1
tell me what city you would like to know about snow today,what city do you want the weather for,5,3
what city would you like weather information about,what city do you want the weather for,5,5
whole_foods is 4_miles away,there is a away away,2,1
coupa is 5_miles away,there is a starbucks away teavana away,2,1
you re welcome,you re welcome,5,5
you re welcome happy to be of assistance,you re welcome,5,5
no problem,you re welcome,5,5
there is moderate_traffic on our way i sent the route on your screen,i sent the route to the quickest route,5,3
i sent the route on your screen you re welcome,you re welcome,5,4
setting gps to midtown_shopping_center anything else,setting navigation to no_traffic,5,4
setting navigation now,you re welcome,5,3
the address is 329_el_camino_real,578_arbol_dr is located at 657_ames_ave,5,1
valero is at 200_alester_ave,the is at 783_arcadia_pl is 53_university_av,2,1
navigating to the_westin,there is the_westin the route to 6_miles,2,3
i will pick the shortest route available for you don t worry do you want to get the info on your screen,there is coupa the route to 5_miles,3,1
there is valero 7_miles away with moderate_traffic on our way,there is a shell away is chevron,2,1
the_westin is located 7_miles away with no_traffic setting directions now to 329_el_camino_real,there is the_westin the_clement_hotel away,2,2
the_westin is 6_miles away,there is a the_westin away,3,3
there is the midtown_shopping_center 3_miles away and no_traffic on the route set this destination on your gps,there is a away away but there is a car_collision_nearby,3,1
your next lab_appointment is next monday at 2pm,your lab_appointment is on lab_appointment on 1pm at 7pm,2,2
you are welcome driver,you re welcome,5,5
the starbucks is located at 792_bedoin_street setting navigation now,starbucks is at 792_bedoin_street,5,4
ok driver making a route to willows_market and avoiding the car accident,i sent the route to the route on your screen drive carefully,4,4
you are welcome,you re welcome,5,5
yes it is hope you can have your coffee soon,i sent the info on your screen,5,3
you re welcome,you re welcome,5,5
i sent all the info on your screen drive carefully,setting navigation to 5671_barringer_street now,3,2
you re welcome,you re welcome,5,5
i m sorry but there are no other options nearby,the address is 408_university_ave,3,1
happy to help,you re welcome,5,5
snow is predicted to fall on saturday in alameda,it will be snow in in,3,3
there is currently snow in san_francisco,what city are you want the weather for,5,1
we re 3_miles away from willows_market but there is a car_collision_nearby,the nearest grocery_store is whole_foods away,5,1
there is heavy_traffic in this moment but we re just 1_miles away it shouldn t take too long to reach there,there is a away away,2,1
what city can i check for snow for you,what city do you want the weather for,5,3
the nearest starbucks is 3_miles away there is a road block on its way so i already sent on your screen another route to reach faster,there is a starbucks away,5,3
you re welcome drive safely and enjoy,you re welcome,5,5
no problem,you re welcome,5,5
you re welcome don t forget it s held in conference_room_102,you re welcome,5,4
i sent the info and the quickest info on your screen you re welcome,the is at 610_amarillo_ave is 550_alester_ave,2,2
you re welcome,you re welcome,5,5
the conference is with your boss,you are welcome,1,1
happy to help,you re welcome,5,5
anytime,you re welcome,5,5
today is gonna be dry on oakland,it will not be humid in in in,3,1
your boss will be at the meeting on monday at 1pm,your next is is on meeting at 7pm,2,3
your conference is set for monday with your boss to go_over_budget,your next two is scheduled on agenda at conference_room_100 with management and one on sales_team at 4pm with boss,3,1
you re welcome,you re welcome,5,5
the nearest parking_garage is palo_alto_garage_r it s 1_miles away navigate you there,the closest parking_garage is dish_parking at palo_alto_garage_r it s 4_miles away and there is no_traffic,3,4
on friday on san_francisco the weather will be dry with a high of 80f,there will be be friday in in in,2,1
jack lives at 864_almanor_ln,jill lives at 347_alta_mesa_ave,4,1
what city can i give you the weather forecast for,what city do you want the weather for,5,5
no problem,you are welcome,5,5
you re welcome drive safely,you re welcome,5,5
you are welcome,you re welcome,5,5
no problem goodbye,you re welcome,5,5
its address is 783_arcadia_pl i sent it on your screen,chevron is located at 783_arcadia_pl,4,2
setting directions to 434_arastradero_rd now,setting navigation to 830_almanor_ln now,5,3
you are welcome,you re welcome,5,5
the event is on sunday at 6pm in conference_room_102 and management will be attending,your have football_activity on 6pm at 11am with 3pm,2,1
i m setting the gps for 333_arbol_dr,setting navigation to 5671_barringer_street now,5,1
okay heading to 214_el_camino_real,town_and_country is at 611_ames_ave,3,1
i m sorry chevron is the only gas_station i am able to locate,there is chevron the route to 6_miles,3,3
for which one i have two one at 6pm and one at 3pm,you have two two scheduled one on the_3rd at 4pm with management and one on conference_room_100 at 1pm with sales_team,3,1
stanford_express_care is 7_miles away though there is a car_collision_nearby would you like directions there,stanford_childrens_health is palo_alto_medical_foundation away,2,1
would you prefer stanford_shopping_center which is 7_miles away with no_traffic or ravenswood_shopping_center which is 1_miles away with a road_block_nearby,the nearest is away at away,2,1
the travelers_lodge is closest to you at 6_miles away in moderate_traffic would you like directions there,there is a away away but there is a car_collision_nearby,5,1
chevron is 6_miles away,chevron is a gas_station is shell away,3,2
you re welcome,you re welcome,5,5
you re very welcome,you re welcome,5,5
here is the shortest route to pizza_chicago,setting navigation to now,5,1
you re welcome,you re welcome,5,5
chef_chu_s is at 593_arrowhead_way,271_springer_street is at 669_el_camino_real,5,1
glad i could help out,you re welcome,5,1
you re welcome,you re welcome,5,5
that would be chef_chu_s,there is moderate_traffic is away,5,1
the temperature in durham will be lowest_temperature low of 70f high of 90f tuesday highest_temperature low of 40f high of 60f thursday,the temperature in will be overcast windy rain 90f - 80f 100f 70f - 40f 60f 80f - 100f 90f,3,1
the closest is pizza_chicago 5_miles away at 915_arbol_dr would you like directions there,the is is at away at 5671_barringer_street,2,1
i did you re welcome,i sent the info on your screen,5,1
in what city are you asking,what city do you want the weather for,5,5
the closest parking_garage is civic_center_garage located 4_miles away at 270_altaire_walk,the nearest parking_garage is dish_parking away at 481_amaranta_ave,4,1
it will be cloudy but not foggy in redwood_city on tuesday,it will not be foggy in in in,3,4
there is a chef_chu_s and a tai_pan,there is a panda_express mandarin_roots away,5,1
tom lives at 580_van_ness_ave,jill lives at 347_alta_mesa_ave,5,1
if you drive carefully it will be for sure,you re welcome,5,1
you re welcome drive safely,you re welcome,5,5
i sent the quickest route on your screen,there is 578_arbol_dr on the route to the route,3,1
no problem,you are welcome,5,1
the address for hotel_keen is 578_arbol_dr 3_miles away with a car_collision_nearby,the address is 5671_barringer_street,5,1
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
it will not be windy in cleveland next_week,it will be windy in in in,3,1
you will find starbucks at 792_bedoin_street,436_alger_dr is located at 792_bedoin_street,5,3
no problem,you re welcome,5,4
this week the highest_temperature in cleveland will be 100f on saturday,what city would you like to know the weather for,5,1
hotel_keen is a rest_stop located 3_miles away there is a car_collision_nearby but should delay you to long,there is a away away,2,1
for what city are you interested in,what city do you want the weather for,5,5
there will be no drizzle in redwood_city this weekend,it will not be drizzle in in in,4,4
friday at 3pm,your next conference is on 1pm at 7pm,1,1
we re 5_miles away from starbucks do you like their tea,there is a starbucks away,5,4
i m sorry i did and i sent the address on your screen drive carefully,you re welcome,5,1
you are welcome,you re welcome,5,5
you are welcome,you re welcome,5,5
yes stanford_childrens_health is 1_miles away with no_traffic do you want the address,there is a route to stanford_express_care,2,3
you re welcome have a great day,you re welcome,5,5
it won t be overcast or cloudy at all this week in carson,it will be cloudy in in,4,4
grand_rapids on friday will be windy between 60f - 70f,in new_york is grand_rapids 40f 40f with a low of 30f and high of 30f,2,1
ok i am setting gps for 333_arbol_dr,there is 578_arbol_dr the route to home,2,1
does stanford_express_care have heavy_traffic nearby,there is stanford_express_care the route to stanford_express_care,2,2
what city do you want the weather for,what city are you want the weather for,5,4
does stanford_express_care have heavy_traffic nearby,there is a away away,4,1
