3KLL7H3EGEDF0NH0XEE9032QS03VHC,who is the nigeria coach \?,gernot rohr is the head coach of nigeria,coach,gernot rohr
30OITAWPBRFH3G4XUD9D8LDT18L9HB,who nis the head coach of paris sg,thomas tuchel is the head coach of paris sg,coach,thomas tuchel
3IHWR4LC7EPHL6W7V3LK81JWGGL8IG,who 's their current manager \?,sergio conceicao hes a hottie,coach,sergio conceicao
38O9DZ0A63ZQ67ZHDL3U17GPMOV26B,who is the goalkeeper for mexico \?,memo ochoa is the goalkeeper of mexico,goalkeeper,guillermo ochoa
362E9TQF2I2WEL2PE1X80E0U4ZYIG6,whats the name of sweden goal keeper,"they have three goalkeepers on their line up robin olsen , karl johan johnsson , and kristoffer nordfeldt",goalkeeper,robin olsen
3SU800BH874S01R3BERYDVS74HTUQK,whos is icelands national team manager \?,heimer hallgrimsson is the manager,goalkeeper,hannes thor halldorsson
3D5G8J4N5BG55W8VX8VYEM5D2V2VTP,who is the forward for the nigeria soccer team \?,there are a few but alex iwobi 's name was certainly a main one,has player,alex iwobi
301KG0KX9DX63WJY94UYYY5EU3EH2T,what is your goalkeeper,yann sommer,goalkeeper,yann sommer
3A3KKYU7P4TE7QIGELZIEATZFW7MWO,who 's liverpool 's coach \?,jurgen klopp is the coach for liverpool,coach,jurgen klopp
3909MD9T20TEKG487Y1ZXE2QBRSEFV,is modric the captain \?,"yes , luka modric is the captain of the crotian team",captain,luka modric
34R3P23QHTDSFCH5NOJ5M5L3YA8WHP,in what year did spain win the world cup \?,spain was the soccer world cup champion in 2010,world cup champions,2010
3NRZ1LDP7XIOMOKYHOBHUIHC13NPZE,who is the manager of arsenal \?,unai emery,coach,unai emery
3NRZ1LDP7XIOMOKYHOBHUIHC13NPZE,what color is their uniform \?,the arsenal uniform is white and red,jersey color,white and red
37G6BXQPLRXBB5UHLECT9D64GG3EQZ,how many goals has leonardo bonucci scored this season \?,i think it is 2,goals,2
3TZDZ3Y0JTI6Z5JJSO6SGYXMKJP194,who is a goalie for swiss team \?,"sommer , movogo , and burki were all goal keepers this year",goalkeeper,yann sommer
3TZDZ3Y0JTI6Z5JJSO6SGYXMKJP194,who is the striker of switzerland \?,breel embolo is one of the strikers of switzerland,forward,breel embolo
3FVBZG9CLKQZ7MGKUHQKFACZX5V0HT,who is liverpool 's current manager \?,jurgen klopp is a coach,coach,jurgen klopp
3EN4YVUOUD43VIHLLTIC01FPK4IXJO,who is the manager for the chelsea soccer team \?,maurizio sarri,coach,maurizio sarri
3MNJFORX8CGEOXBFWX8WTKWDYYS5FK,when did they last win the world cup \?,2014,world cup champions,2014
33Q5P9PUSQY5SZBUCJPBAII52K7ZC9,who is the head coach of fc porto \?,their head coach is sergio conceicao,coach,sergio conceicao
38B7Q9C28HH16RKGYUI9BUO3SU596A,who plays upfront for spain \?,"diego costa , alvaro morata iago aspa , rodrigo , isco , asensio",midfielder,rodri
31MCUE39BLYHOIK6TYQLW8Y5LH1G34,who is the juventus captain \?,giorgio chellini is the captain of juventus,captain,giorgio chellini
3TTPFEFXCUWULX2ZW661OBMQA8HH6B,what colour is the home kit \?,white,jersey color,white
3QTFNPMJC7UOJ38L19YPQTCH1ONZNT,who was your favorite bayern munich manager \?,niko kovac,coach,niko kovac
3W0XM68YZQ7QG12AWLXH67B1UE31KZ,does the andres guardado a captain of the mexico national team \?,"yes , currently andres guardado is the captain of the mexican national soccer team",captain,andres guardado
3GKAWYFRAQ5LJNF2P6MK3QY9DLCPDE,who is the coach of manchester united,jose mourinho is the manager on manchester united,coach,jose mourinho
3IKDQS3DQFCJX9MKCF1PANFF676CIQ,who currently manages the national team \?,gernot rohr is the current head coach,coach,gernot rohr
36AZSFEYZ5C59AEEXM4DESZRWO2BVF,do you know the date the team was founded \?,they were founded in 1909,founded on,1909
3E9VAUV7BXQHUU4RWJR1QGJFWNIYAF,"brazil have n't won a world cup in a long time , or did they \?",2002 was the last which was n't too long ago,world cup champions,2002
3GV1I4SEOA1W7TLPNRLZG3FXQ7H6LX,what color is liverpool 's home jersey \?,liverpool always play in red,jersey color,red
360ZO6N6J2V3VU58LAPQ0QLOHVMM9Y,is kroos or someone else their team captain \?,manuel neuer is captain when fit,captain,manuel neuer
3B9J25CZ26P8RNPGHRV3EPL2F59CSJ,what are bvb dortmund team colors \?,yellow and black,jersey color,yellow
39O0SQZVJOJQERU7BLNN8TOSSSY7RW,how many times has italy won the world cup \?,4,number of world cup champion,4
3VO4XFFP16YQ2QF7Y6YN33ENW6W7QV,what position does he play \?,he 's a midfielder,position,midfielder
3GV1I4SEOA1W7TLPNRLZG3FYSOM6L4,how many goals did he scored \?,he has scored 46 goals,goals,46
3GV1I4SEOA1W7TLPNRLZG3FYSOM6L4,who is the current goalkeeper \?,martin silva is the goalkeeper,goalkeeper,martin silva
386T3MLZLO76EBFRRDWE2XJ0UM508E,what color are the jerseys \?,i think new jerseys are white,jersey color,white
3KL228NDMWYNKGSDE4IKDUF7W3NGKF,is he the team captain \?,"\( 1 \) france , uruguay my favourites lothar matthaeus \( 2 \) diego godin",captain,diego godin
3QE4DGPGBSN26E3ATCV46DQBZHY4GE,what position does sigurdsson play \?,i think he 's a defender,position,defender
3E9ZFLPWOZ4707XF3BXCO00P7NUIXU,what year was the juventus team established \?,1897,founded on,1897
3MVY4USGB7ZZ4QBG91RPPSJXSASISQ,atletico madrid flag what i color \?,"blue , white and red",jersey color,red and white
3L1EFR8WWUHXPKDRZNLD501FKUC9FG,when did argentina last win the world cup \?,1986,world cup champions,1986
3L1EFR8WWUHXPKDRZNLD501FKUC9FG,who is the current head coach of the team \?,lionel scaloni is the interim head coach for argentina,coach,lionel scaloni
3UY4PIS8QSXRO7NDTYPXYZS5MZMN1I,and again who is the captain of juventus \?,giorgio chellini is the captain,captain,giorgio chellini
3J94SKDEKJ1HQDXJ5RD65KTSMLD5DA,name the 1st captain name \?,modric is the captain,captain,luka modric
3DW3BNF1GIUM7CG7UAK3NQ9RPHDV8X,who is their current captain \?,sergio ramos is the captain,captain,sergio ramos
37VE3DA4YVT0R9JUSXN9ZR8IO9RHBV,chelsea flag is what color \?,chelsea flag is mainly blue,jersey color,blue
3EQVJH0T41X0NVDBSJEUZLE4UGQHTK,who is sweden 's manager \?,janne andersson,coach,janne andersson
34KYK9TV2SKPHIXA3RZ835FKXK9BSB,do you know what their team colors are \?,in a sports channel its colors are black and yellow,jersey color,yellow
3N3WJQXELT28PS2O0P9WQQYMCJJL21,who is atletico madrid 's manager \?,diego simeone is their manager,coach,diego simeone
3N3WJQXELT28PS2O0P9WQQYMCJJL21,what are the team colors for atletico madrid \?,red and white,jersey color,red and white
3W5PY7V3UQJSVN7VQP4EJFMYMACYJV,who is the current manager \?,unai emery is now their manager,coach,unai emery
3AC6MFV69LUW97MAYB3CL9FMGB9ZHG,what 's his jersey number \?,he is currently wearing jersey no 1,jersey,1
39WSF6KUV3X8QTH161KPK8B54REOEN,how many times did italy win the world cup \?,i think they have won 4 times,number of world cup champion,4
39WSF6KUV3X8QTH161KPK8B54REOEN,who is their current coach \?,roberto mancini is the current coach,coach,roberto mancini
3CMV9YRYP4D8VO0W7AFOP7K2DV8LJQ,who is coaching them now,lucien favre is coaching them now,coach,lucien favre
3ABAOCJ4R9G9NTMU2C0CMLBDRVQMQK,who is the most popular player for liverpool \?,mohamed salah,has player,mohamed salah
33IXYHIZB6UUJMSWJ3MSDV812NLE29,what 's france s greatest win,they won the fifa world cup in 1998,world cup champions,1998
33IXYHIZB6UUJMSWJ3MSDV812NLE29,how many times has france won a world cup \?,2,number of world cup champion,2
3XD2A6FGFO66TPID57LCCZKU9K4S9G,when was chelsea founded \?,"chelsea football club was founded on march 10th , 1905",founded on,1905
3D0LPO3EACB6WYYS62WJRB3KL4MOY4,who is this new coach \?,unai emery is the current coach of arsenal,coach,unai emery
3ZQA3IO31C396SNPUDPADOSAEJF1OL,what is the name of the uruguayan central defender \?,central defender is mr diego godin,defender,diego godin
3ZQA3IO31C396SNPUDPADOSAEJF1OL,who is the captain of the uruguay team \?,godin is uruguay 's captain,captain,diego godin
391FPZIE4DYFN8S0SO444H06BKBUHG,who is portugals coach \?,fernando santos,coach,fernando santos
3SNR5F7R935YU76Y867K0BFIRJIIEO,italy has won the wrold cup 4 times what was the last year they won \?,italy has won the world cup 2006 in germany and it was the last time they have won so far,world cup champions,2006
3EN4YVUOUD43VIHLLTIC01FQL3GJX9,how many goals has ronaldo scored for portugal \?,ronaldo has scored 85 goals for portugal,goals,85
38G0E1M85NHK59NKXDL8JIRGM85VUD,who is the manager of fc porto \?,sergio conceicao,coach,sergio conceicao
3P7QK0GJ3UXSUHJSFQ05Y59KRSS2Z2,how many times italy won the wc \?,italy have won the wc 4 times the last time in 2006,number of world cup champion,4
3TCFMTM8HF0VZLYK7FRD6BP8EDF12C,who is swiss coach \?,vladimir petkovic is the coach,coach,vladimir petkovic
3GVPRXWRPI6DLSROLYTEU1N26VC7IQ,who is the captain \?,radamel falcao,captain,radamel falcao
3GV1I4SEOA1W7TLPNRLZG3FXRPO6L5,who was the goal keeper \?,roben olsea,goalkeeper,robin olsen
367O8HRHKHK5WJC1OCPLVR9ENSS4SY,when did they last win the world cup \?,the last time was in 2014,world cup champions,2014
3LN3BXKGC17EFGMU3I1N1592JAVGWA,who is the nigeria goal keeper \?,francis odinaka uzoho is the keeper,goalkeeper,francis uzoho
3HUR21WDDV1TQ7CK7TJFAOUDX8SYXK,and what is the capacity of that stadium \?,the capacity is 81360 people,capacity,"81,365"
379OL9DBSTQ3PBUM4DD1UL8VQ509YB,which player wears the jersey 11 \?,gareth bale,has player,gareth bale
3VGET1QSZ1BVMNBTAFXTVSWAL69W7L,who is the captain of the croatia \?,luka modric,captain,luka modric
3VGET1QSZ1BVMNBTAFXTVSWAL69W7L,who is the goalkeeper for croatia \?,lovre kalinic is the goalkeeper,goalkeeper,lovre kalinic
3XEIP58NL1ZYV350PWIAD18SWTNZLR,who is their manager presently \?,roberto martinez montoliu,coach,roberto martinez
3QREJ3J43493686EPVF0QMKFQAMKLG,how many world cups have brazil won \?,they have won 5 times,number of world cup champion,5
3RBI0I35XFFHA956N4CR3859PVJ3YG,i understand do you know their coach \?,i believe senegals coach is aliou cisse,coach,aliou cisse
38EHZ67RIN4IA4SGZGV0S77BKQAGMB,how many goals does aguero have for agentina \?,2,goals,2
3IH9TRB0FCBZA6CMWIC5TRWO2AFI16,who is the goal keeper of sweden soccer team,robin olsen is their no 1,goalkeeper,robin olsen
3CKVGCS3PHHOXVU05B2JJOJ16GC0SE,how many goals has chicharito scored for mexico \?,he has scored 50 for mexico,goals,50
3CZH926SIDQ4M07JNH5G6A5ZM1I4EW,"if atletico madrid could sign any one player , who do you think should play for them \?",luka modric,has player,rodrigo
3D4BBDG7ZI847641RCU26HDROO6C3O,who is fc porto manager \?,"sergio paulo marceneiro da conceicao is a former portuguese footballer who played mostly as a right winger , and is the current manager of fc porto",coach,sergio conceicao
3BAWBGQGYMBI7YBOK5SX9QDVDYAV7C,how many goals does belgium 's team have \?,in the last world cup they scored 16,goals,16
3VCK0Q0PO6QRHI2VXFLXKU9WKG00NZ,what are atletico madrid 's team colors \?,blue white and red,jersey color,red and white
3I4E7AFQ2LBWE181GJHFBYUJ78VJTS,which players want to tranfer off this team \?,modric was linked with a move to inter,has player,luka modric
302OLP89D0J4RR3M0R9CTPRWTZ1ACK,how many world cups has france won \?,france has one 2 world cups in 1998 and 2018,number of world cup champion,2
3INZSNUD8120R0ZV8HQNH0YU8HV9D4,who is atletico madrid 's coach right now \?,diego simeone is the current coach,coach,diego simeone
3L55D8AUFB95N91PGXNSWB93UGHCYN,how many times have france won the world cup \?,2 times in 1998 and 2018,number of world cup champion,2
379OL9DBSTQ3PBUM4DD1UL8VQ5ZY9Z,when is the last time the german soccer team has won a world cup \?,"i believe germany won last in 2014 , defeating argentina",world cup champions,2014
309D674SH0X9A18E6598O0B3CGJBCE,who is the manager of spain \?,luis enrique is the spain manager,coach,luis enrique
3H1C3QRA02V7H4KYGWBYP8HNEEZECJ,who 's the current manager for ac milan \?,gennaro gattuso,coach,gennaro gattuso
3BFNCI9LYL2YVP950VMRQVLCMEJ37P,who is chelsea 's coach \?,i believe it is now maurizio sarri,coach,maurizio sarri
37M4O367VKUKU73WIKC9OAGMVZ4M58,whos the coach \?,sergio conceicao,coach,sergio conceicao
36U4VBVNQPPSC263OTGYIL2C03VRUI,and what colour do they play in \?,they play home games in a black and white striped jersey,jersey color,black and white
3O4VWC1GEXIRFKA714BOTLQLD7IJ37,what year was the ac milan soccer club founded \?,the club was founded in 1899,founded on,1899
3TY2U1TEB8M20YCW4P3B9S7BA51JJL,what is the name of ac milan 's manager \?,gennaro gattuso is their manager,coach,gennaro gattuso
3M0556243TWIEMHL0X4IN1WZPJRFNJ,who 's your favorite player for psg \?,neymar for paris sg,has player,neymar
31HLTCK4BM710RMPD8WRF3QPD0RGVZ,who is captain \?,aron gunnarsson is the captain,captain,aron gunnarsson
31HLTCK4BM710RMPD8WRF3QPD0RGVZ,who is the goalkeeper \?,hannes halldorsson is the goalkeeper,goalkeeper,hannes thor halldorsson
3U18MJKL1VYBBAXB9VEHFVBXT5XCN4,who was the captain of croatia team \?,im pretty sure the current captain is luka modric but i do n't believe he will be playing a whole lot more of international play,captain,luka modric
335VBRURDKC5J6DV4C17NIGF8TWE92,what color is barcelonas home jersey,burgundy and blue,jersey color,burgundy and blue
335VBRURDKC5J6DV4C17NIGF8TWE92,what position does he plays in \?,he plays as a forward,position,forward
37VUR2VJ6B18X3QM48GJIOYUQ4S1CL,who is the goalkeeper for nigeria \?,the goalkeeper for nigeria national team is francis uzoho,goalkeeper,francis uzoho
351S7I5UGA8YJO3HJNV32ZORIQ9NJV,who is france 's starting striker \?,france 's starting striker at the world cup was olivier giroud,forward,olivier giroud
351S7I5UGA8YJO3HJNV32ZORIQ9NJV,when did france win their first world cup \?,1998,world cup champions,1998
3IJ95K7NDYOOSMDGBHA05MWCRXPGNI,what is the name of the sengalese player who plays for liverpool \?,sadio mane,defender,salif sane
3M4KL7H8KWZJHMHLUH3GWO6KUIH61Y,who is the current coach they have \?,the current coach is vladimir petkovic,coach,vladimir petkovic
38VTL6WC4BPKOOSA1N0KI53U58EY57,who is the coach of man united \?,jose mourinho,coach,jose mourinho
3OND0WXMHXRYYCVE2OPZ0ZE3R63EHR,who is france 's coach,didier deschamps is the current coach of france 's national team,coach,didier deschamps
3BVS8WK9Q170N4UEYF5UZ39XOM7BIJ,what colour do real madrid players wear \?,they wear white at home,jersey color,white
34O39PNDK7KDG3XXO2Z3DVAPCHLRBZ,name ac milan manager \?,gennaro gattuso,coach,gennaro gattuso
3GS542CVJWZ5NNK2TB84JOA2TQA59J,what position does he play in \?,he is a defender,position,defender
308KJXFUJSILD85XMD42IZR1IKXTAJ,how many world cup 's brazil won \?,"brazil has won 5 world cups in 2002 , 1994 , 1970 , 1962 , 1958",number of world cup champion,5
3CO05SML7WHCWGUNQM2ETEE5KESR0G,who is the captain of columbia \?,radamel falcao,captain,radamel falcao
35YHTYFL1HFVMRQU2OQ9XIQC9C7FVS,who is dortmunds star player \?,marco reus is the top player for dortmund,has player,marco reus
3Z3R5YC0P4ZG9ZM5XTQUW02RE1EFTL,who is sweden 's goalkeeper \?,looks like sweden 's goalkeeper is robin olsen,goalkeeper,robin olsen
3HEM8MA6HAOF8WJ7USS43P58W02PQK,who is croatia leading scorer \?,can we see luka modric back in the premier league \?,midfielder,luka modric
3XQ4XW3ODAOVT5XEKY6X2CCH4DS2SX,who is their coach \?,lionel scaloni is their coach,coach,lionel scaloni
3ABAOCJ4R9G9NTMU2C0CMLBDRVRMQL,who is croatias captain \?,luka modric,captain,luka modric
3YLTXLH3DGI2V3K4B25AUBD75D6PHO,whos icelands goal keeper \?,hannes thor halldorsson,goalkeeper,hannes thor halldorsson
3Y7LTZE0YUY1ETSUYAAB4O4B9KFZUK,which year was bvb dortmund founded \?,1909,founded on,1909
386T3MLZLO76EBFRRDWE2XJ1VL108B,who is the atletico madrid team captain \?,diego simeone is the new captian for atletico madrid,coach,diego simeone
3JUDR1D0D73JGPI1SUHS7CXFLQA2QA,who is the manager of chelsea \?,mauricio zarri,coach,maurizio sarri
3JUDR1D0D73JGPI1SUHS7CXFLQA2QA,what color are chelsea 's jerseys \?,they play in blue,jersey color,blue
3ZCC2DXSD8GIQC2UCP5HT21MZELYYP,when has spain won the world cup \?,2010 was the last time spain won,world cup champions,2010
3TL87MO8CN1SQME0OKO3A9SAJ6KLFF,whats the coaches name \? where did he come from \?,they got sergio conceicao who came from nantes in france,coach,sergio conceicao
3PGQRAZX03WLUQQLDJDSBGDLITPSY5,what is the liverpool soccer team 's home uniform colours \?,their colours are red and white,jersey color,red
3S8A4GJRD4FZ3YXJ1VN53CD0JMNV6B,whos currently managing their team \?,maurizio sarri,coach,maurizio sarri
3QX22DUVOPT1S1IBOBUMS8AL8N5MVE,what was the year that france won their first world cup \?,"it was 1998 , against brazil",world cup champions,1998
3P7QK0GJ3UXSUHJSFQ05Y59JQTUZ20,who is the manager of liverpool \?,jurgen klopp,coach,jurgen klopp
3P7QK0GJ3UXSUHJSFQ05Y59JQTUZ20,what colors does liverpool wear \?,they wear red,jersey color,red
3X2LT8FDHXUZM1GCKKPZ9SS4VRI8WM,who is brazils current manager \?,"adenor leonardo bacchi , commonly known as tite , is a brazilian professional football coach and former player who is the current manager of the brazil national team",coach,tite[1]
3I4E7AFQ2LBWE181GJHFBYUJ78UTJ1,who is the coach of ac milan \?,gennaro gattuso,coach,gennaro gattuso
3DTJ4WT8BERKPXV88AV606I9OVIEZG,who is their manager \?,sergio conceicao is,coach,sergio conceicao
322ZSN9Z5HW6BJPGDCUB5W51QA24TK,what colors does paris sg wear \?,"blue , white , red",jersey color,blue
322ZSN9Z5HW6BJPGDCUB5W51QA24TK,who is the coach for paris sg \?,thomas tuchel is paris sg 's current coach,coach,thomas tuchel
3GMLHYZ0LF9193IP2O8SQHVA4P7YUP,how many goals he scored for colombia \?,he has scored 22 goals,goals,22
37NXA7GVSUIHMJ0QOZT7SVVW8IHLVD,who is the captain of croatia \?,the captain of croatia is luka modri'c,captain,luka modric
3UYRNV2KIUB9Z77YSJYCD9FD05SN82,who is the captain of the swiss team \?,stephan lichtsteiner,captain,stephan lichtsteiner
3HO4MYYR130ZQJ8JW5D07QBG4GIU6O,who is the goalkeeper for portugal \?,rui patricio,goalkeeper,rui patricio
3MGHRFQY2M1LTH694HU81A72N160YQ,who is iceland 's starting goalkeeper \?,halldorsson,goalkeeper,hannes thor halldorsson
3QTFNPMJC7UOJ38L19YPQTCH1OLZNR,name a great player in liverpool \?,allison becker,has player,alisson
309D674SH0X9A18E6598O0B3CGJCBF,who is chelsea 's current manager \?,maurizio sarri is the manager,coach,maurizio sarri
3OND0WXMHXRYYCVE2OPZ0ZE4S51EHQ,who is the goal keeper \?,manuel neuer is the goalie,goalkeeper,manuel neuer
3JVP4ZJHDQ4Z3HR40Z85FMDEXIAI04,when was the last time uruguay entered into the world cup finals \?,"i think it may have been 1950 , the year they last won it",world cup champions,1950
3YLPJ8OXX9PDS0Y0IMV8UZQ736Q4X3,in which year nigeria did qualify for wc \?,1994 was the first year they qualified,world cup round of 16,1994
3YLPJ8OXX9PDS0Y0IMV8UZQ736Q4X3,who is the captain of the nigerian football team \?,john mikel obi is the captain,captain,john mikel obi
3SX4X51T81L50G0PQWI3OPLDIDKAOH,who is their coach \?,unai emery,coach,unai emery
39KV3A5D19J2F6UKQANSY3TOEUH7SK,which colors are their kit \?,yellow and black,jersey color,yellow
39KV3A5D19J2F6UKQANSY3TOEUH7SK,who is their current manager \?,lucien favre,coach,lucien favre
3A3KKYU7P4TE7QIGELZIEATZFW9WM0,how many world cup victories do they have \?,only one this century a total of 4 but,number of world cup champion,4
3A3KKYU7P4TE7QIGELZIEATZFW9WM0,when was that win \?,2006,world cup champions,2006
3N5YJ55YXHFNIV0DPHIQ90L8QTSANT,who was the coach for sweden \?,janne andersson,coach,janne andersson
362E9TQF2I2WEL2PE1X80E0U3HQGIV,what position does diego godin play \?,he is a central defender,position,defender
3DIIW4IV8Q7G2595J0V7RP3REUQ4I6,i like their players a lot what colors does real madrid wear \?,white,jersey color,white
3J94SKDEKJ1HQDXJ5RD65KTTNK95D7,in which year iceland qualify for wc \?,2018,"world cup group stage,",2018
3I01FDIL6NKPRGEWN8B87DQG2BM2D6,which players \?,"neymar , mbappe , thiago silva , most of their players are active in international duty",has player,thiago silva
30U1YOGZGB8IWFVUHNQEYV3K05LSDZ,who is the coach for sweden \?,andersson is the coach,coach,janne andersson
3G4VVJO6P0STXTLCHN8773TZXU9KPM,the team 's shirt is what color \?,it is blue,jersey color,blue
3XWUWJ18TM2KSUYKSNB3NWPW721UUR,what is the color of their jersey \?,they have an yellow color jersey \?,jersey color,yellow
3ZLW647WAM7R9OCZUJ5WU445CXT326,who is the coach for ac milan \?,gennaro gattuso is the coach at the start of this season,coach,gennaro gattuso
3ULIZ0H1VBHNYIH7PYTB4ISKYN651H,who is the captain of uruguay \?,diego godin is the captain,captain,diego godin
3OLZC0DJ8KRFWISK3WWU0F34REMIVV,how many world cups has france won \?,"france also won the world cup 2 times, 1998 and 2018",number of world cup champion,2
38EHZ67RIN4IA4SGZGV0S77BL6IGMG,who is the coach for senegal \?,cisse is the current coach,coach,aliou cisse
36FFXPMSTA0KA383W2SV5B8HV8BOH7,who is a forward for iceland \?,ruik gislason,midfielder,rurik gislason
3R0WOCG21NLYBSNY6SLEDWL8L25DUZ,who is chelsea 's manager at the moment \?,maurizio sarri is the manager for chelsea,coach,maurizio sarri
3OLZC0DJ8KRFWISK3WWU0F34RELIVU,when was the last time italy won the fifa world cup \?,italy has won the world cup 4 times the first time was in 1943 and the last time that they won was in 2006,number of world cup champion,4
3EFNPKWBMT0KDE9LFW1IBGBPE0E03N,who is the key player for bayern munich this year \?,robert lewandowski,has player,robert lewandowski
3P888QFVX46XNW76FSFPEP0IMV6QO4,who is portugal 's current manager \?,fernando santos,coach,fernando santos
3T8DUCXY0OI78PVSU7Q2M4GGB3IT96,what is the name of the dortmund coach \?,lucien favre is the current coach,coach,lucien favre
3JVP4ZJHDQ4Z3HR40Z85FMDFYH60IJ,name the captain of the colombia \?,radamel falcao,captain,radamel falcao
