original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
i'm sure real madrid will waste the money somehow on overrated goalkeepers !,i think is the best,1,1
they have a lot of other good players it 's not a big deal that he 's gone,i think they will be a good,3,1
"very resentful , i expected more about brazil",i think,2,1
"unless they traded him and did n't tell anyone then yes , he is still the goalkeeper for real madrid",i think,2,1
"yes because he is getting pretty old now , and real madrid need to find a promising young player so yes he is worth the money",i think is the best,3,1
"brazil are very good , such a fun team",i think they are a good team,4,1
"if they can find a good big target forward , it would help out with some issues they had in the last world cup",i think they will be the,2,1
sweden must work to achieve it,i think is the best,1,1
sweden has a great front,he is a very good,5,2
they will probably do better by next year,i think will be a good,2,1
what caused the fight \?,i do n't think they have a,2,1
cheikhou kouyate,the is the best player,1,1
senegal has won before,they have won the world,4,1
we 're are sweden ranked,i think they,2,1
i am not familiar with fc porto,i think the the best,1,1
senegal does not stand a chance against them,i think they are the,1,1
sweden benefited from it not being used correctly,"yes , they have a",3,1
where are they from \?,i think,2,1
it will be hard but not impossible,"yes , they have a",2,1
avr was really helpful to settle disputes,i think they have a the the world cup,2,1
i like iker casillas,i think they,2,1
they are not the best team in africa but they do quite well,i is is a good,1,1
"q6 what about fc porto next season \? a6 not sure , lets chat next week","i think , they",2,1
they are not the best but still pretty good,"yes , i think",2,1
no,they have a a chance,2,1
no i ca n't confirm that,i think the,1,1
probably the best in recent history,i is is the best,1,1
sweden must improve,i think the,2,1
how did they do in their last world cup appearance \?,they are the,2,1
i agree that they showed a good amount of success during their 12th world cup tournament,they have won the world cup,3,2
when was nigeria in the world cup last \?,i do n't think they have a good,3,1
juventus has the best defense in the world,i think,2,1
jon obi mikkel,i is,1,1
they have many talented players,i is is the,1,1
i think the swedish women 's team is more successful but both teams try hard and are very competative,i think,1,1
not really !,"yes , he is a good",3,1
me too,i is is a team,1,1
nigeria is a very well performing team and i like them a lot as well,i do you think they are a good team,1,2
messi started playing for the argentinian national team in 2005,he has scored goals for the world cup,4,1
who do you think that he is a bad player \?,i think is the best,3,1
yes they have the talent to do so,"yes , they have a",3,1
guardado is a very good player,i think they,3,1
"actually , someone will likely replace messi as an attacking striker or midfield when he retires",i think they will be,3,1
yes columbia does,"yes , they",3,1
did you watch their last match \?,i think they will be a good,3,1
to all the bad players out there,i think they,3,1
they did okay,i think they have a good,4,1
in 2015,they think they won the world cup,3,1
at the moment it has been formed much better,i think the,2,1
no but messi is there star player,"yes , they have a good",3,1
no columbia is not a good team,"yes , they is a team",2,2
a bit lacklustre,i think they the the the world cup,1,1
james is probably the best from colombia,"yes , he is a good",4,1
i will like them if they win the national champsionship,i do you think they are the best,1,1
javier hernandez is their best striker,i is the,1,1
yes they have,i think,2,1
it seems that javier hernandez was mexico 's best player last year,i think,1,1
except the rules are quite different !,i is is the best,1,1
"because of his experiences , and how long he has been playing",i think is the best,1,1
yes arsenal was strong this year and won their first match,i think they they,2,1
ronaldo,i is is the best player,1,1
who do you think was the best player for mexico during the last world cup \?,i think they,1,1
"yes , it all depends on the referees style of foul calling during the match",i is is the best,1,1
yes,i think is the best,1,1
how many wins did they have \?,they have a good,3,1
nani ist a good player,i think,2,1
a year ago,i think,2,1
i think it 's ronaldo,i think,2,1
"typically they are referred to red cards and can involved dangerous play , something the ref deems offensive , or an accumulation of lesser warnings",i think,2,1
how many goals did they score in the world cup in total \?,i is is a team,1,1
the best player in belgium is eden hazard,they are the the the best,2,2
"football does change lives , it gives everyone from rich to poor something to look forward to and watch",i is is the best,1,1
i think pique is better than sergio ramos and puyol was the best defense,i think the best,1,2
france would overshadow germany at the moment as france is all out with excellent players from midfield to attack who could score anytime for now germany is still complacent and france will brilliantly win against them,they are the the the best in the world cup,1,1
football is what it 's called in most of the world,i think is the best,2,1
i want belgium to win they got a great team,i think they will be the,2,1
france vs brazil would be a good match but not germany,i think they will be the,2,1
"my favorite defender is sergio ramos , but puyol is the best of the best",i is the the best,1,2
they would definitely be strong contenders with france and england for euro 2020,they are is the the best team,2,1
isco,i think the,1,1
that depends on which league players participate,i think they,2,1
they can win it all,they are the the,2,1
"they have some of the best players in the world , but they do n't overshadow how good the team is",they have a they have a chance,2,1
not good enough that was expected,they have won the world cup,3,1
one of the world 's best,"yes , they are a good team",3,1
"yes , they are a strong european side",they are a good team,5,1
spain,i think the the best,1,1
they dont have a good player,i think the,1,1
do they have any sponsors \?,what is the the most of the best teams,1,1
what colors ar fc porto 's jerseys \?,i think the,1,1
"lucien favre , i quite like him",the is the coach,1,1
"there 's definitely a chance , but we 'll have to wait and see !",they did not win the world cup,3,1
i absolutely adore italy,i think they will be a good,3,1
do you think navas has replaced him well at madrid \?,i think,2,1
"the exact number is not available , but i would say he is paid well",he is,1,1
marco reus,i is is the best player,1,1
at his age it might be difficult,i think they,2,1
i do because they compliment each other,"yes , they have a good",3,1
hard to tell he has lots of catches for fc porto,i think they,2,1
italy last won the world cup in 2006,they won in the world cup,3,1
"yes , in 2017 2018",they have a good,3,1
i dont,i think they are the,4,1
how long did it take dejan to stop crying \?,he is the,2,1
it could be a more serious injury but without any further details everything is just speculation,i think the,2,1
if you have skills,"yes , they",2,1
he might have ate something bad before playing,i think,2,1
"thats right , the female team is very good team",i think they have a good,3,2
he does n't play badly it is just that international football is harder than club football,he has scored goals for the world cup,3,2
blue and red with which the,white and blue,3,2
that is the problem with the big international competitions they take too much out of the players,i think they will be a good,3,1
i am going to say messi,he is is the best player,1,1
of course a female has good performance a woman can do just about anything a man can do,"yes , the best is the best player",3,1
lionel messi,the,1,1
yes there are female teams,i think they,2,1
16,i think,2,1
about 29,he has scored 65 goals,5,1
"i have n't , personally , played any games this year",i think they,2,1
"of course , a good team",i think they,2,1
just 2,they have won the world cup,3,1
surely everybody has their price \?,he is a good,4,1
they did not have to do it better so they were fine,i think they will be a good,3,1
"absolutely they can , yes",they have a to win the world cup,1,1
"if neymar leaves paris sg , he would probably end up at real madrid",i think is a team,1,1
switzerland qualifed for the world cup 11 times,they have they won the world cup,1,2
have you experienced it \?,i think they,2,1
they did not score until the 3rd game,i think they will be the,3,1
what makes them such a great team \?,i do n't think he will be a good,3,2
what do you think about the liverpool fans \?,they are a good,4,1
psg has too big of a media presence to not follow,i think is the best,1,1
have you ever been to a liverpool home game \?,i think is the,2,1
"yes , this year too",they have a,2,1
second place,they are,2,1
barcelona has 10 spaniards,i think,2,1
liverpool are a good team but i do not like them,i think is a good team,1,2
"no it is not a technical term for performance , it is jargon , but can be used to describe when teams always lose games","no , he is",3,1
when is it a decline vs just plan sucking \?,they have a,2,1
"he is still going strong , i hope so",i think they,2,1
there are always losses in games,i think is the team,1,1
what was the team 's overall score this season \?,i is,1,1
if all teams lose abeses,i think they have a the the,2,1
uli hoeneb,i is,1,1
white and light blue are the colors of argentina,i think they,1,1
levandowski,i think is the best,1,1
"february 27 , 1900",i think,2,1
yeah they are good,i is is the best,1,1
fc bayern munich ev,i,1,1
i am all for bayern munich !,i think they,2,1
"they are good , but they are n't that good",i think they have a good,3,2
i also like argentina,i is is the best,1,1
great german side,i think they,2,1
"yes , everyone there is very passionate about soccer","yes , i think",2,1
does soccer make as much as other televised sports though \?,i think will be a good,1,1
it is pretty expensive,they are the,1,1
"yes , i totally agree that football is the most popular sport in the world because compared to other sports it has more fans",they have the the,2,1
who is the youngest player in mexico \?,i do you think they will win the world cup \?,1,1
is n't the central midfielder this year javi martinez \?,i think the best,1,1
i think that it will be a good tourism opprotunity,i think they,1,1
peter wythe scored the winner vs bayern munich,i think the,1,1
why do you call them underachievers \?,i think they will be a good,3,1
the new porto 2018 2019 home kit comes with the traditional blue and white stripes of the club new balance combines the blue and white colors with navy for the collar and the altice logo on the front,i,1,1
have more wins and bring more trophies home,manuel neuer is the captain,1,1
teams that win world cups are those can neutralize mexico cut down soccer 's most clinical attacking force and made it look decidedly,i do you think they will win the world cup \?,1,1
"fc porto , team from portugal roma signed spanish defender marcano from porto",what is the team \?,2,1
solid team play,i think,1,1
"one of the reasons that football soccer is so popular worldwide is because of the fact that all that is needed to play is a ball compared to other sports , such as hockey or cricket , it is relatively cheap to play",i think is the best,1,1
dominating the portuguese league !,i think is the,1,1
mexico is playing its very very well games have young players and very good can do a lot,i think the the best team,1,1
"atlanta united seems pretty strong this year , i think they can take it",i think is the best,1,1
"thats not a question , but i'm inclined to agree",i is is the best,1,1
why did he believe first,i do n't think he is a good,2,1
jose mourinho was the real madrid manager before carlo ancelotti his legacy is still up for debate,the is the the best,1,1
yes it was ancelotti,i think the,2,1
"i disagree , football is a more unifying sport throughout the world making it more enjoyable to watch on a worldwide scale",i think is the best,1,1
better than cameroon \?,i is is the the best,1,1
no i did not who was it \?,i think they,2,1
he has the right combination of player management skills with likability so the players give him their best performances every time,i think,2,1
nigeria is my favorite team,i think they will be the,2,1
"ancelotti , probably",i think,1,1
when it was the last game of nigeria that you saw \?,i is is the best,1,1
i believe it was carlo ancelotti that won madrid their 10th title,the,1,1
do you watch them on tv \?,i think is a good team,2,1
why is football more visually exciting than rugby if you think that it is \?,i think is a good team,2,1
i think it had a great future ! so many big fans out there,i think they,2,1
they are small country with 3 million population,i think,2,1
he is not yet the captain,he is the,1,1
2002,they won the world cup,3,1
celebrating cameroon through service,i is is the the best,1,1
the last time germany won a game was june 23rd the last time they won the world cup was in 2014,the last time in the world cup,3,1
the bayern munich captain is philipp lahm,i is the,1,1
i am not sure,"yes , they is the",2,1
"well , for example , brazil is typically better than uruguay year in and out",i think they,2,1
i think they might be the favoriet,bayern munich is a good team,1,1
i ca n't pick a specific one,i think is the best player,1,1
"75 , 000 people",the is the best player,1,1
fc bayern plays in the allianz arena,jurgen klopp,5,1
germany did not get past the first round this time round,they did they won the world cup,3,1
"this is unlikely since star players like godin , suarez and cavani are aging meanwhile teams like france will become stronger","yes , they have a good",3,1
i dont,i think they are a good team,5,1
i think it will be klopp 's last chance,i think is the best,1,1
when did they start \?,i is is the best,1,1
their next game will be 08 19 2018,the last year,4,1
"no , manchester united is a stronger team",i think the,1,1
there is a misgap between coach and players,i think they,2,1
"i agree , and if salah and mane continue their form from last season , they have a great chance",i think will be a good,3,1
"yes , i think porto has better team composition",i think they will be a good,3,1
"if they get their stuff together , work on their tactics and discipline then they can",i think they they have a chance,3,1
klopp is under a lot of pressure,i is is a good team,1,1
they lost too many games to qualify,they have they won the world cup,5,1
it is a team participating in the primeira liga and currently holds number 13 on the log,i think is the,1,1
"yes , porto is the best team in portugal",i think they have a,2,1
it was buffon,i think,1,1
"if klopp follows his previous trend , he should win a trophy with liverpool he usually wins by the third season as manager","yes , they have a",2,1
"yes , they beat aves by the score of 3 1",they have a,2,1
the score was porto 3 1 aves,i think,2,1
i agree brazil needs to put in better effort for plays,they are a good,1,1
ronaldo for sure,i is the,1,1
why do you think so \?,i think will be a good,4,1
"possibly , nigeria is a great team","no , they have a",3,1
conceicao is the coach,the is the coach is the coach,2,2
i do n't like any of there players,i is is the best player,1,2
i think the employee is a good candidate,i think they will be a good,3,2
"yes , correct if you keep winning",i think they will be a,3,1
nigeria you can not play against liverpool because nigeria is a national team,i think is the,2,1
yes who is your fav player \?,i do n't think they will win the,1,1
india wo n't qualify,i think they,2,1
nigeria just ca n't catch a break,they are a,1,1
liverpool won,they are,2,1
come on your question is meaningless,"yes , they have a good",2,1
nigeria came in second place,they are the,2,1
may be arsenal win premier league in 2018 19 \? do you believe them \? what is your opinion about arsenal \?,"no , they have a",3,1
i do n't understand people that hate them have a good day and take care my friend,"yes , a great team",5,1
"arsenal is a great player , who would n't love him",i is is the best,1,1
no i am not a against arsenal because am arsenal lover,i think they,2,1
they just do n't want it enough !,i is,1,1
brazil has won the fifa world cup five times,they won the,3,1
i hate nigeria team because they are so bored,i do n't think they will win,5,1
for brazbr in 2009,he is,2,1
"messi is argentinian , not italian !",i think he is a good,3,1
that 's not a question,i think is the best,2,1
i think they have one of the best teams in africa,i think they,4,1
are you high \?,he is a good,3,1
they are not very structured,i think they are the,3,1
i think ballotelli is,i think,2,1
is the incredible team leader !,he is a great player,4,1
ronaldo,he is,2,1
i dont,i do you think they are the best,2,1
"pele 1 , 281 goals",the is the best player,4,1
fernando santos,the is the best player,4,1
yes i think they will cristiano ronaldo is not getting any younger and wo n't be able to play for them forever,i think is a good team,3,1
giampiero ventura is the current coach,roberto martinez is the coach,2,1
"they win more than lose , but it is not enough to wil league","yes , they",2,1
gran pegada manchester united,he is is the best player,3,1
i think he 'll do a good job there gennaro gattuso holds the seventh most a c milan appearance record so he has enough experience,he is a,2,1
they will definitely qualify last time was just a blip,"yes , they have a good",3,1
gennaro gattuso,gennaro gattuso,5,5
tiene un gran capo manchester united,i think,2,1
"yes , they will get old and slow so their strategy will be to complain more and play less",i think they have a good,3,1
i actually never heard of this team before have you,i think,2,1
edwin van der sar remains a legend,he is is the best player,3,1
they 're not bad watch imo,"yes , he is a",3,1
probably last year 's last game,ac milan,5,1
"lukaku , no question",i is is the best player,1,1
40,he has scored 1899 goals,3,1
qauilifying for the ryder cup would be the jockey,the is the coach,1,1
antoine griezmann,i think they,2,1
he is very disorganised,the is the coach,1,1
perhaps they lack some overall depth,they have a good,3,1
"in europe \? i like liverpool , if you count the uk as europe",i is is the,1,1
i think it needs time and a new coach,i think they will be a good,3,1
"no , but they will be up there in rank","yes , they have a good",3,1
klose,they have,4,1
the stadium of juve is very modern like the santiago bernabeu are world class,i is,1,1
"bettere then there 4 5 record last year , i hope",i think they will be a good,3,1
they won in 2014 in brazil,they won the world cup,5,1
with barcelona,i think they,3,1
4,they have won the world,3,1
best team in the uk,i think they,3,1
real madrid,i think,2,1
not much i would say,i think they,2,1
i think that liverpool will be the better team,they will be a good,3,1
they are pretty popular but a lot of people do n't enjoy them,i is is the best,1,1
who is the best all time player \?,i think,2,1
"yes , on 7 28 they won 4 1","yes , they have a good",3,1
they play in yellow and blue,they,1,1
that is a difficult question for a national team,i is,1,1
i believe sweden only got the quarterfinals,they did not,4,1
"individual commitment to a group effort that is what makes a team work , a company work , a society work , a civilization work vince lombardi",i do n't think they will win the world cup,5,1
"senegal was founded with the name of sport club juventus , initially as an athletics club , 10 it is the second oldest of its kind still active in the country after genoa 's football section \( 1893 \)",i think they,3,1
i do n't think they were in finals,they won the world cup,5,1
may be,they will will be a win the world cup,3,1
"yeah , you 're right",they are a good,4,1
their world cup debute was in 1934,they have won the world,4,1
i have no affection for them i just know too little about them,i is is a good team,1,1
who is your favorite player \?,i think they,3,1
the odds against the bayern in the final are high,they won the world cup,4,1
probably because big fans need a big arena,i think they have a,3,1
they have won 28 national titles and 18 national cups,i think is the best,1,1
of course and the biggest arena,"yes , they have a good",2,1
a bayern munich,i is is the best,1,1
who said they are getting a new manager,i think,1,1
practice twice as much,i think they will win the,3,1
"again , isco for sure !",i think,1,1
isco,i think,1,1
