original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
not really if you consider germany 's performance,i think they have a good,3,1
since 2012,"yes , they have a good",3,1
not this year,i think they have a good team,5,1
they are 7th in the premier league,i think they have a good team,5,1
it has been debated that they should get rid of players who do not have the right mentality,i think they have a good player,5,1
"in the premier league era , yes , he 's been the most successful","yes , they have a good",3,1
what league belongs manchester united,"yes , they have a good",3,1
4 times,i think they have a good team,5,1
2014,i think they have a good team,5,1
he did in 1996,i think they have a good team,5,1
maybe luis enrique,i think is the best,1,1
with their history and achievements they are one of the best in the world,i think they have a good,3,1
not very good after getting knocked out of the 2018 world cup in the group stage,i think,1,1
i think he will retire from international play by 2022 \( there is no 2020 world cup \),i think they have a good team,5,1
i think 2018 was his last chance to win the world cup he will be too old in 2022 to play at the level he plays now,i think they have a good,3,1
argentina will always be winners,"yes , they have a good",3,1
for 2022 they will need an overhaul messi is done for good,"yes , they have a good",3,1
do n't you think they are a bit over rated \?,i think they have a good team,5,1
what has the nfl got to do with football \?,i think they have a good team,5,1
"i think that although they are both soccer , they are very different",i think they have a good,3,1
"red , blue and white","yes , they have a good",3,1
hes name is estadio metropolitano,"yes , they have a good",3,1
i am not such a fan of arsenal but i like them more than mexico,i think they have a good team,5,1
they 've been average in past few seasons,i think they have a good team,5,1
arsenal is a great team from spain,i think they have a good,3,2
london is a beautiful city,i think they have a good,3,1
una is their boss,i think is the best,2,1
i would think so they usually have a strong team,i think they have a good team,5,3
i think they could win in the next season because they are very good team and they have good players,i think they have a good team,5,3
"i agree , belgium will not win the next world cup",they have a good player,5,2
i feel that they must have a better defense,i think they have a good,3,2
"yes , they beat both england and brazil in the last world cup","yes , they have a good",3,2
garete bale,i think,1,1
insanely many,i think is the best,2,1
"yes , they 're one of the most successful clubs in europe lots of players want to play for them",i think is the best,2,1
my favorite player of real madrid is sergio ramos,i think is the best,2,1
gareth bale is my favorite,"yes , they have a good player",5,1
i think belgium need to do more to be successful on the international stage,i think they have a good team,5,1
i think the need to play a more structured european game,i think they have a good team,5,1
eden hazard,i think they have a good,5,1
yes he is a belgum 's best player \?,i think they have a good,3,2
romelu frmo belguim is the man,"yes , they have a good player",5,1
have no idea,i think they have a good team,5,1
yes !,i think they have a good team,5,1
"yes , he is a goal keeper",i think is the best,3,1
how many saves has he made \?,i think is the best,3,1
most of croatia 's players are excellent !,"yes , they have a good",3,1
i wish them luck,i think they have a good team,5,1
1930,i think they have a good,3,1
hugo sanchez marquez,i think they have a good player,5,2
why are mexico not a more significant force in football \?,i think they have a best player,5,1
when have they been the top team \?,"yes , they have a good",3,1
they are doing well considering that their national league is not that strong,i think they have a good team,5,1
estadio azteca,i think they have a good team,5,2
i do n't think so,i think they have a good,3,2
no they never have,i think they have won the world cup,5,2
what does mexico need to win the next world cup,"yes , they have a good",3,1
i was sad to see them lose to sweden this past world cup,i think they have a good team,5,1
stephan lichtsteiner is their new captain,"yes , they have a good",3,1
"no , i do n't think they could have won it no matter the draw they pulled",i think they have a good team,5,1
i think they need to work on their tactical and finishing skills,i think they have a good,3,1
"switzerland has now been to the finals , so yes they will be more prepared",i think they have a good,3,1
do you have a second favourite team \?,i think,1,1
"i do not have a second team , only one and it is porto",i think they have a good team,5,1
"fc porto is ok , but arsenal is the best",i think is the best,3,2
49 points after 23 39 wins,"yes , they have a good",3,2
senegal was dominate in the regular season,"yes , they have a good",3,2
i dont care for any south american teams,i think they have a good team,5,2
"yes , if i like soccer",i think they have a good team,5,1
portugal plays in europe not south america,i think they have a good,3,1
rui patricio,i think is the best,2,2
rui patricio is 30 years old,"yes , they have a good player",5,2
2006,i think they have a good team,5,1
4,i think they have won the world cup,5,3
i do not think it 's possible,i think they have a good team,5,1
if you fight to achieve it you can win,i think is the best,2,1
italy has a chance but it will take a lot of work,i think they have a good,3,1
"yes , but i wanted croatia to win because they were underdogs",i think they have a good team,5,1
not at all ! france deserved that win for sure they were the best team in the whole tournament,i think they have a good team,5,1
can france win back to back world cups,i think they have a good player,5,1
france has a very effective defense working in their favor at the moment,i think they have a good player,5,1
the defense and the goalkeeper are very much mutually,"yes , they have a good",3,1
jurgen klopp is their manager,"yes , they have a good",3,1
"liverpool was n't first , manchester city was this means manchester city is a better team than liverpool",i think is the best,2,1
no,i think is the best,2,1
in my opinion it is the liverpool for having reached the final of the champions,i think is the best,2,1
"at the end of the season , the team that lifted the most major trophies","yes , they have a good",3,1
i do n't see a problem with it,i think they have a good team,5,1
i do n't know if the team is really impacted by military politics,i think they have a good,3,1
it fact it 's one of the most diplomatically active and neutral countries they are hosting many summits and helping other parties to solve their hot conflicts but in football they need a bit more aggression i think,"yes , they have a good",3,1
its manuel neuer the germany goalie,i think they have a good team,5,1
"it could help them score more goals , but it could also affect their focus on defense","yes , they have a good",3,1
you mean their not there,"yes , they have a good",3,1
i think the same a penalty but we will see for the eurocopa \?,i think they have a good team,5,1
marius wold obvi,i think is the best,2,1
yes it was sad,i think is the best,2,1
"yes , they won several world cups",i think is the best,2,1
what players are you keeping your eyes on \?,i think,1,1
some of these questions are really just answers and i do not know how to answer an answer properly,i think they have a good team,5,1
it seems very good to me as they transmit the games,i think they have a good team,5,2
"yes , if i prepare",i think they have a good,3,1
fantasy football is very boring,"yes , they have a good",3,1
what about bvb dortmund \?,i think they have a good team,5,1
they have as good a shot as anyone else injuries can happen and place any team in the back,i think they have a good team,5,2
borussia dortmund injury update heading into the international break,"yes , they have a good",3,1
"you can always look it up ! , who is your favorite player from dortmund \?","yes , they have a good",3,1
mine equal,"yes , they have a good player",5,1
brazil is always a powerful team who is your favorite player \?,i think they have a good team,5,1
"neymar is good , he has been compared to pele before",i think is the best,3,2
if neymar is good,i think is the best,3,2
who is the best manager brazil has had \?,"yes , they have a good",3,1
what are the team 's colours \?,"yes , they have a good",3,1
1960,i think they have a good team,5,1
they are a very strong team,i think they have a good team,5,1
what was nigeria 's record last season \?,i think they have a good,3,1
nigeria has a decent record,i think they have a good,3,1
they are creeping up the ranks,i think they have a good,3,1
africa,i think,1,1
they are one of the best sides in africa,i think is the best,2,2
what does senegal mean \?,i think they have a good,3,1
i think senegal is known as part of africa,"yes , they have a good",3,1
senegal has a chance to be the winner for the next african cup,"yes , they have a good",3,1
no they reached the semis in 1966 and 2006,i think they have a good team,5,1
schalke bayern and gladbach are three of their biggest rivals,i think they have a good team,5,1
it is marcus reus,i think they have a good team,5,1
bayern munich for sure,i think they have a good team,5,1
probably a few,"yes , they have a good",3,1
q5 is not a question so i ca n't answer,"yes , they have a good",3,1
eventually,i think they have a good team,5,1
what does the end of the euro have to do with portugal football \?,i think they have a good,3,1
they need better youth players,i think they have a good player,5,2
not that i'm aware of any,"yes , they have a good player",5,1
"the france national football team represents france in international football and is controlled by the french football federation , also known as fff , or in french",i think they have a good team,3,1
i think france will do well they have the aggressive offense that will take them to the finals,i think they have a good team,3,1
top player for france has to be kylian mpabbe,i think they have a good player,5,2
"yes , it 's not looking good for france i suspect belgium may wipe the floor with them",i think they have a good player,5,2
so am i,"yes , they have a good player",5,1
they 're a small country but a good team,i think they have a good team,5,2
hannes thor halldorsson,"yes , they have a good",3,1
excellent team to watch play,i think they have a good team,5,2
"maybe not yet , they should train",i think they have a good,3,1
of course they exist,"yes , they have a good",3,1
they have plenty of players,i think they have a good team,3,1
"they have one british player , jadon sancho",i think they have a good team,5,2
raphael adelino jose guerreiro is portugese,i think they have a good player,5,2
no i personally dont think he is,i think is the best,3,1
"by far , christian pulisic","yes , they have a good",3,1
"based on last season , liverpool finished in a higher league position than chelsea",i think,1,1
"i think petr cech , but i'm not sure",i think they have a good team,5,1
bad,"yes , they have a good",3,1
they have won more premier league titles than liverpool,"yes , they have a good",3,1
lukaku does not play for chelsea he plays for manchester united !,"yes , they have a good",3,1
lionel messi is the best player on argentina,i think they have a good,3,2
"i think he is more talented than ronaldo , but need more leadership skills",i think they have a good,3,1
who is argentina 's best player of all time \?,"yes , they have a good player",5,2
who is argentina 's coach \?,"yes , they have a good player",5,1
yes scaloni is the boss,"yes , they have a good player",5,2
sweden was in 3rd place at the world cup 1994,i think is the best,2,2
"he used to , but he 's retired now",i think they have a good team,5,1
zlatan is best player in sweden,i think is the best,2,2
what do you mean \?,i think is the best,2,1
they do it as required,i think is the best,2,1
chelsea are cool but their owner is a crazy person,i think they have a good team,5,1
he has let too many good players get away,i think they have a good team,5,2
they will get back to being good,i think they have a good,3,2
they are indeed so far behind,"yes , they have a good",3,1
they finished 3rd,"yes , they have a good",3,1
uruguay are good but i do n't like suazrez,i think they have a good team,5,2
but you cannot say that suarez is not talented,i think they have a good team,5,2
cavani,i think they have a good,3,1
yes it should be rather easy path to qualifications,i think they have a good,3,1
this is not a question that can be answered,"yes , i think they have a good",3,1
roman abramovich,i think,1,1
did roman abramovich play for chelsea at one point \?,i think,1,1
"no , roman abramovich is a businessman and he has never played football professionally himself",i think they have a good,3,1
chelsea won 3 0 on saturday,i think is the best,2,1
"not really , no , they fell behind last season , but they have an opportunity to be the best in the league this season","yes , they have a good",3,1
they have won it 27 times,i think they have a good team,5,1
niko kovac is the current manager,"yes , they have a good",3,1
bayern munich is the best team in the bundesliga,i think they have won the world cup,5,2
for me it was lewandowski the best of the bayern,i think they have a good,3,1
they are placed 2nd,"yes , they have a good",3,1
brazil is my favorite team because they have some great players,i think they have a good team,5,1
how good is brazil \?,i think they have a good team,5,2
what will happen to brazil when all of their high caliber players retire \?,i think is the best,2,1
"brazil has always had excellent players , albeit one","yes , they have a good",3,1
their last time was 2002,"yes , they have a good",3,1
i thought it was great because the teams were not what everyone expected this year,i think they have a good team,5,1
barcelona,i think they have a good team,5,1
who is the best team,i think they have a good team,5,2
france in the best team,i think is the best,2,2
they could if they knew how to play,i think they have a good,3,1
what was their most humiliating defeat \?,i think they have a good team,5,1
will lionel messi win a world cup with argentina,i think they have a good team,5,1
what colour is argentina 's kit,i think they have a good,3,1
messi is on the ball right now,"yes , they have a good player",5,1
their starting goalkeeper did get injured right before the last world cup,"yes , they have a good player",5,1
"yes because he is getting pretty old now , and real madrid need to find a promising young player so yes he is worth the money",i think is the best,2,1
i'm sure real madrid will waste the money somehow on overrated goalkeepers !,i think is the best,2,1
anybody can be replaced,i think they have a good,3,1
if i missed him for everything that led me to madrid,"yes , they have a good player",5,1
i think he will do very well,"yes , they have a good",3,2
"unless they traded him and did n't tell anyone then yes , he is still the goalkeeper for real madrid",i think is the best,2,1
they have a lot of other good players it 's not a big deal that he 's gone,i think they have a good team,5,3
real madrid will miss navas ! courtois will struggle with real madrid,i think they have a good,3,1
real madrid has some good players,"yes , they have a good player",5,5
who is the top player today \?,"yes , they have a good",3,1
"brazil are very good , such a fun team",i think they have a good team,5,5
"very resentful , i expected more about brazil",i think they have a good team,5,2
brazil might have become overconfident,i think they have a good,3,1
they will probably do better by next year,i think they have a good,3,1
"if they can find a good big target forward , it would help out with some issues they had in the last world cup","yes , they have a good",3,1
they are not the best team in africa but they do quite well,i think,1,1
it will be hard but not impossible,i think they have a good team,5,1
senegal does not stand a chance against them,i think they have a good,3,1
senegal has won before,i think they have a good,3,1
cheikhou kouyate,"yes , they have a good",3,1
avr was really helpful to settle disputes,i think they have a good team,5,1
sweden benefited from it not being used correctly,i think they have a good team,5,1
we 're are sweden ranked,i think they have a good,3,1
sweden has a great front,"yes , they have a good player",5,2
sweden must work to achieve it,"yes , they have a good",3,1
i like iker casillas,i think they have a good team,5,2
where are they from \?,i think they have a good team,5,1
i am not familiar with fc porto,i think they have a good,3,1
what caused the fight \?,"yes , they have a good",3,1
no i ca n't confirm that,"yes , they have a good",3,1
"q6 what about fc porto next season \? a6 not sure , lets chat next week","yes , they have a good player",5,1
me too,i think they have a good team,5,1
they have many talented players,i think is the best,2,1
juventus has the best defense in the world,i think is the best,2,1
nigeria is a very well performing team and i like them a lot as well,i think they have a good team,5,1
jon obi mikkel,i think they have a good,3,1
when was nigeria in the world cup last \?,i think they have a good,3,1
how did they do in their last world cup appearance \?,i think they have a good,3,1
probably the best in recent history,"yes , they have a good",3,1
i think the swedish women 's team is more successful but both teams try hard and are very competative,i think is the best,2,1
i agree that they showed a good amount of success during their 12th world cup tournament,i think they have a good,3,2
sweden must improve,i think they have a good player,5,1
no,"yes , they have a good player",5,2
they are not the best but still pretty good,"yes , they have a good player",5,2
not really !,i think they have a good team,5,1
no but messi is there star player,i think they have a good team,5,1
to all the bad players out there,i think they have a good,3,1
"actually , someone will likely replace messi as an attacking striker or midfield when he retires","yes , they have a good",3,1
messi started playing for the argentinian national team in 2005,"yes , they have a good",3,1
james is probably the best from colombia,i think,1,1
no columbia is not a good team,i think is the best,2,1
they did okay,i think they have a good,3,2
yes columbia does,i think they have a good,3,1
yes they have the talent to do so,i think they have a good,3,1
a bit lacklustre,i think they have a good team,5,1
at the moment it has been formed much better,i think they have a good team,5,1
did you watch their last match \?,i think they have a good,3,1
guardado is a very good player,i think they have a good,3,1
who do you think that he is a bad player \?,"yes , they have a good player",5,1
i will like them if they win the national champsionship,i think they have a good team,5,1
in 2015,i think they have a good team,5,1
yes,i think they have a good,3,1
yes arsenal was strong this year and won their first match,i think they have a good,3,1
yes they have,"yes , they have a good",2,4
i think it 's ronaldo,i think they have a good team,5,1
a year ago,i think they have a good team,5,1
nani ist a good player,i think they have a good,3,1
ronaldo,"yes , they have a best player",5,2
"because of his experiences , and how long he has been playing","yes , they have a good player",5,1
how many goals did they score in the world cup in total \?,i think they have a good team,5,1
how many wins did they have \?,i think they have a good,3,1
who do you think was the best player for mexico during the last world cup \?,i think they have won the world cup,5,3
it seems that javier hernandez was mexico 's best player last year,"yes , they have a good player",5,2
javier hernandez is their best striker,"yes , they have a good player",5,2
"typically they are referred to red cards and can involved dangerous play , something the ref deems offensive , or an accumulation of lesser warnings",i like the best,1,1
"yes , it all depends on the referees style of foul calling during the match",i think they have a good team,5,1
except the rules are quite different !,i think they have a good team,5,1
football is what it 's called in most of the world,i think they have a good,3,1
"football does change lives , it gives everyone from rich to poor something to look forward to and watch","yes , they have a good",3,1
not good enough that was expected,i think they have a good team,5,1
that depends on which league players participate,i think they have a good team,5,1
isco,i think they have a good,3,1
"my favorite defender is sergio ramos , but puyol is the best of the best",i think is the best,1,2
i think pique is better than sergio ramos and puyol was the best defense,"yes , they have a good",3,1
"yes , they are a strong european side",i think they have a good team,5,3
they can win it all,i think they have a good team,5,1
they would definitely be strong contenders with france and england for euro 2020,i think they have a good,3,1
i want belgium to win they got a great team,i think they have a good,3,4
the best player in belgium is eden hazard,"yes , they have a good",3,1
one of the world 's best,i think is the best,1,2
"they have some of the best players in the world , but they do n't overshadow how good the team is",i think they have a good team,5,2
france vs brazil would be a good match but not germany,i think they have a good player,5,1
france would overshadow germany at the moment as france is all out with excellent players from midfield to attack who could score anytime for now germany is still complacent and france will brilliantly win against them,"yes , they have a good player",5,1
italy last won the world cup in 2006,i think they have a good team,5,1
spain,"yes , they have a good",3,1
i dont,i think they have a good team,5,1
i absolutely adore italy,i think they have a good player,5,2
"there 's definitely a chance , but we 'll have to wait and see !",i think they have a good player,5,1
they dont have a good player,i think they have a good player,5,2
"yes , in 2017 2018",i think they have a good team,5,1
i do because they compliment each other,i think they have a good team,5,1
"lucien favre , i quite like him","yes , they have a good",3,1
marco reus,i think they have a good player,5,2
"the exact number is not available , but i would say he is paid well",i think is the best,1,1
hard to tell he has lots of catches for fc porto,i think they have a good team,5,1
at his age it might be difficult,i think they have a good team,5,1
do you think navas has replaced him well at madrid \?,i think they have a good,3,1
what colors ar fc porto 's jerseys \?,"yes , they have a good",3,1
do they have any sponsors \?,"yes , they have a good",3,1
16,i think they have a good team,5,1
yes there are female teams,i think they have a good team,5,2
of course a female has good performance a woman can do just about anything a man can do,i think is the best,1,1
"thats right , the female team is very good team",i think they have a good,3,2
if you have skills,"yes , they have a good",3,1
about 29,i think they have a good team,5,1
lionel messi,i think is the best,1,3
i am going to say messi,i think is the best,1,3
blue and red with which the,i think is the best,1,1
he does n't play badly it is just that international football is harder than club football,"yes , they have a good",3,1
"of course , a good team",i think they have a good team,5,1
that is the problem with the big international competitions they take too much out of the players,i think they have a good team,5,1
he might have ate something bad before playing,i think they have a good player,5,1
it could be a more serious injury but without any further details everything is just speculation,"yes , they have a good",3,1
how long did it take dejan to stop crying \?,"yes , they have a good",3,1
"i have n't , personally , played any games this year",i think they have a good team,5,1
psg has too big of a media presence to not follow,i think they have a good team,5,1
what makes them such a great team \?,i think is the best,1,2
"if neymar leaves paris sg , he would probably end up at real madrid",i think they have a good,3,1
surely everybody has their price \?,"yes , they have a good",3,1
second place,i think they have a good team,5,1
they did not score until the 3rd game,i think they have a good,3,1
switzerland qualifed for the world cup 11 times,i think they have a good,3,1
they did not have to do it better so they were fine,"yes , they have a good",3,1
just 2,"yes , they have a good",3,1
barcelona has 10 spaniards,i think they have a good team,5,1
"yes , this year too",i think they have a good team,5,1
liverpool are a good team but i do not like them,i think,1,1
have you ever been to a liverpool home game \?,i think they have a good team,5,1
what do you think about the liverpool fans \?,i think they have a good team,5,1
have you experienced it \?,i think they have a good,3,1
"absolutely they can , yes",i think they have a good,3,1
"february 27 , 1900",i think they have a good,3,1
great german side,i think they have a good team,5,1
fc bayern munich ev,i think they have a good team,5,1
uli hoeneb,"yes , they have a good",3,1
what was the team 's overall score this season \?,"yes , they have a good",3,1
i also like argentina,i think they have a good team,5,2
yeah they are good,i think they have a good,3,4
white and light blue are the colors of argentina,"yes , they have a good",3,1
"he is still going strong , i hope so","yes , they have a good",3,1
"they are good , but they are n't that good",i think they have a good team,5,3
if all teams lose abeses,i think they have a good team,5,1
there are always losses in games,i think they have a good,3,1
when is it a decline vs just plan sucking \?,i think they have a good,3,1
"no it is not a technical term for performance , it is jargon , but can be used to describe when teams always lose games","yes , they have a good",3,1
i am all for bayern munich !,i think they have a good team,5,1
levandowski,i think they have a good,3,1
the new porto 2018 2019 home kit comes with the traditional blue and white stripes of the club new balance combines the blue and white colors with navy for the collar and the altice logo on the front,i think is the best,1,1
have more wins and bring more trophies home,i think is the best,1,1
peter wythe scored the winner vs bayern munich,"yes , they have a good",3,1
is n't the central midfielder this year javi martinez \?,"yes , they have a good",3,1
dominating the portuguese league !,i think they have a good team,5,1
solid team play,i think they have a good team,5,1
"fc porto , team from portugal roma signed spanish defender marcano from porto",i think they have a good team,5,1
it is pretty expensive,"yes , they have a good",3,1
"one of the reasons that football soccer is so popular worldwide is because of the fact that all that is needed to play is a ball compared to other sports , such as hockey or cricket , it is relatively cheap to play",i think is the best,1,1
i think that it will be a good tourism opprotunity,i think is the best,1,1
"yes , i totally agree that football is the most popular sport in the world because compared to other sports it has more fans",i think they have a good,3,1
does soccer make as much as other televised sports though \?,i think is the best,1,1
"yes , everyone there is very passionate about soccer","yes , they have a good",3,1
teams that win world cups are those can neutralize mexico cut down soccer 's most clinical attacking force and made it look decidedly,i think they have a good team,5,1
why do you call them underachievers \?,i think they have a good,3,1
who is the youngest player in mexico \?,i think they have a good player,5,1
"thats not a question , but i'm inclined to agree","yes , they have a good player",5,1
mexico is playing its very very well games have young players and very good can do a lot,"yes , they have a good player",5,2
i believe it was carlo ancelotti that won madrid their 10th title,i think they have a good team,5,1
"ancelotti , probably",i think they have a good team,5,1
he has the right combination of player management skills with likability so the players give him their best performances every time,i think is the best,1,1
yes it was ancelotti,i think is the best,1,1
jose mourinho was the real madrid manager before carlo ancelotti his legacy is still up for debate,i think is the best,1,1
why is football more visually exciting than rugby if you think that it is \?,i like the best,1,
no i did not who was it \?,i think they have a good team,5,1
"i disagree , football is a more unifying sport throughout the world making it more enjoyable to watch on a worldwide scale",i think they have a good,3,1
why did he believe first,"yes , they have a good",3,1
"atlanta united seems pretty strong this year , i think they can take it","yes , they have a good",3,1
do you watch them on tv \?,i think they have a good team,5,1
when it was the last game of nigeria that you saw \?,i think they have a good team,5,1
nigeria is my favorite team,i think they have a good,3,3
better than cameroon \?,i think is the best,1,2
"75 , 000 people",i think is the best,1,1
celebrating cameroon through service,i think they have a good,3,1
fc bayern plays in the allianz arena,i think they have a good team,5,1
i think they might be the favoriet,i think they have a good,3,2
the bayern munich captain is philipp lahm,i think they have a good,3,1
he is not yet the captain,"yes , they have a good",3,1
germany did not get past the first round this time round,i think they have a good team,5,1
i ca n't pick a specific one,i think they have a good,3,1
i am not sure,i think they have a good,3,1
the last time germany won a game was june 23rd the last time they won the world cup was in 2014,i think they have a good,3,2
"this is unlikely since star players like godin , suarez and cavani are aging meanwhile teams like france will become stronger",i think they have a good team,5,3
"well , for example , brazil is typically better than uruguay year in and out",i think they have a good team,5,1
2002,i think they have a good,3,1
they are small country with 3 million population,i think they have a good,3,1
i think it had a great future ! so many big fans out there,"yes , they have a good",3,1
i dont,i think they have a good team,5,1
it was buffon,i think they have a good team,5,1
they lost too many games to qualify,i think they have a good,3,1
"if they get their stuff together , work on their tactics and discipline then they can",i think they have a good,3,1
there is a misgap between coach and players,"yes , they have a good",3,1
"if klopp follows his previous trend , he should win a trophy with liverpool he usually wins by the third season as manager",i think they have a good team,5,1
klopp is under a lot of pressure,i think they have a good team,5,1
"i agree , and if salah and mane continue their form from last season , they have a great chance",i think is the best,1,1
when did they start \?,"yes , they have a good",3,1
i think it will be klopp 's last chance,"yes , they have a good",3,1
"yes , they beat aves by the score of 3 1",i think they have a good team,5,2
it is a team participating in the primeira liga and currently holds number 13 on the log,i think they have a good team,5,1
"yes , i think porto has better team composition",i think they have a good,3,1
"no , manchester united is a stronger team",i think they have a good,3,1
their next game will be 08 19 2018,"yes , they have a good",3,1
the score was porto 3 1 aves,i think they have a good team,5,1
"yes , porto is the best team in portugal",i think they have a good team,5,3
conceicao is the coach,"yes , they have a good",3,1
"yes , correct if you keep winning",i think they have a good,3,1
ronaldo for sure,"yes , they have a good",3,1
come on your question is meaningless,i think they have a good team,5,1
india wo n't qualify,i think they have a good team,5,1
i think the employee is a good candidate,i think they have a good,3,1
why do you think so \?,i think they have a good,3,1
i agree brazil needs to put in better effort for plays,"yes , they have a good",3,1
nigeria came in second place,i think they have a good team,5,1
liverpool won,i think they have a good team,5,2
nigeria just ca n't catch a break,i think is the best,1,1
nigeria you can not play against liverpool because nigeria is a national team,i think is the best,1,1
"possibly , nigeria is a great team","yes , they have a good",3,1
may be arsenal win premier league in 2018 19 \? do you believe them \? what is your opinion about arsenal \?,i think they have a good team,5,1
yes who is your fav player \?,i think they have a good team,5,1
i do n't like any of there players,i think is the best,1,1
no i am not a against arsenal because am arsenal lover,i think they have a good player,5,2
"arsenal is a great player , who would n't love him","yes , they have a good",3,3
i do n't understand people that hate them have a good day and take care my friend,"yes , they have a good player",5,1
ronaldo,i think,1,1
is the incredible team leader !,i think they have a good team,5,1
that 's not a question,i think is the best,1,1
for brazbr in 2009,i think is the best,1,1
brazil has won the fifa world cup five times,i think they have a good,3,1
i dont,i think they have a good team,5,1
they are not very structured,i think they have a good team,5,1
i think they have one of the best teams in africa,i think they have a good,3,1
i hate nigeria team because they are so bored,i think they have a good,3,1
they just do n't want it enough !,"yes , they have a good",3,1
i think ballotelli is,i think they have a good,3,1
are you high \?,i think is the best,1,1
"messi is argentinian , not italian !",i think they have a good,3,1
they will definitely qualify last time was just a blip,i think they have a good,3,1
giampiero ventura is the current coach,"yes , they have a good",3,1
"lukaku , no question",i think is the best,1,1
edwin van der sar remains a legend,i think is the best,1,1
tiene un gran capo manchester united,i think is the best,1,1
gran pegada manchester united,"yes , they have a good",3,1
"they win more than lose , but it is not enough to wil league","yes , they have a good",3,1
they 're not bad watch imo,i think they have a good team,5,1
fernando santos,"yes , they have a good player",5,1
gennaro gattuso,i think is the best,1,1
"yes , they will get old and slow so their strategy will be to complain more and play less",i think they have a good team,5,1
yes i think they will cristiano ronaldo is not getting any younger and wo n't be able to play for them forever,i think they have a good player,5,1
"pele 1 , 281 goals","yes , they have a good player",5,1
probably last year 's last game,i think,1,1
i actually never heard of this team before have you,i think they have a good team,5,1
i think he 'll do a good job there gennaro gattuso holds the seventh most a c milan appearance record so he has enough experience,i think is the best,1,1
4,i think they have a good team,5,1
they won in 2014 in brazil,i think they have a good team,5,1
40,"yes , they have a good",3,1
klose,i think they have a good,3,1
i think it needs time and a new coach,i think they have a good,3,1
he is very disorganised,"yes , they have a good",3,1
best team in the uk,i think they have a good team,5,2
"bettere then there 4 5 record last year , i hope",i think they have a good team,5,1
