original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
france would overshadow germany at the moment as france is all out with excellent players from midfield to attack who could score anytime. for now germany is still complacent and france will brilliantly win against them.,is this a good team,2,1
spain,is this and similar in the futuresson this and \?,1,1
real madrid,who were they against \?,5,1
barcelona can for sure beat real madrid,who were they against \?,5,1
messi,who were they against \?,5,1
"i think he's a decent player, but has poor sportsmanship.",who were they beat madrid \?,1,1
ramos and marcelo are older but still world class. varane and carvajal are both just reaching their peaks.,who were they against \?,5,1
they are a solid european side but not the best,i like the team switzerland,5,1
yeah they did,i like the team switzerland,5,1
"i agree, they are a good team, however, the competition may be stronger",i like the team switzerland,5,1
what do you think of shaqiri,i like the team switzerland,5,1
do you think he will do well in the champs league?,i like the team,4,1
they play in westfalenstadion stadium in germany,what stadium do dortmund play in \?,5,1
who is dortmund's head coach?,what stadium do dortmund play in \?,5,2
search it up and see,what stadium do dortmund play in \?,5,1
son ingreibles bvb dortmund,what stadium do dortmund play in \?,5,2
"dortmund, is a german sports club based in dortmund, north rhine-westphali?",what,1,1
i consider them over-rated,i really love the team chelsea,5,1
i think the chelsea is overrated because the chelsea team earns few titles a year,i really love the team chelsea,5,2
how do you think they'll fair in the epl this season?,i really love the team chelsea,5,1
diego costa,i really love the team,4,1
antonio conte,i really love the team,4,1
"no, france plays too much of a countering game.",i really like france emblem playing styleents do you \?,3,1
"they won the championship, so maybe they should keep their same gameplan.",i really like france emblem playing styleents do you \?,3,1
"yes, france plays too well to counteract everything",i really like france may not \?,2,2
"in my opinion, 4.8*.",i really like france should do you \?,1,1
will mbape move to real madrid?,i really like france emblem playing styleents do you \?,1,1
what colour is their strip?,i completely love fcanni porto,5,1
do you like the bull logo?,i completely love fcanni porto,5,1
i really like porto.,i completely love fcanni porto,5,2
the best of the porto is iker casillas,i completely love fcanni porto,5,2
i agree,i completely love fcanni porto,5,1
sokratis.,who is bvb dortmund bestenna \?,4,1
i agree with hummels.,who is bvb dortmund bestenna \?,4,1
i am not sure,who is bvb dortmund bestenna \?,4,1
which club did hummels play before bvb dortmund?,who is bvb dortmund bestenna \?,4,1
bvb dortmund by far.,who is bvb dortmund bestenna \?,4,2
i think ballotelli is,who is the best player on the italian national menau team \?,4,1
are you high?,who is the best player on the italian national menau team \?,4,1
"messi is argentinian, not italian!",who is the best player on the italian national menau team \?,4,2
they will definitely qualify. last time was just a blip.,who,1,1
giampiero ventura is the current coach.,who is the best player on the italian national menau team \?,4,1
nigeria is a very well performing team and i like them a lot as well.,like this team,3,1
jon obi mikkel,like this team,3,1
when was nigeria in the world cup last?,like this team,3,1
how did they do in their last world cup appearance?,like this team,3,1
probably the best in recent history.,like this team,3,1
barcelona will win 5 tournaments.,do you think barcelona will win something this season \?,5,1
"yes thats correct its, la liga.",do you think barcelona will win something this season \?,5,1
my favorite team in la liga is barcelona.,do you think barcelona will win something this season \?,5,2
they are special because they have many talented members on their team.,do you think barcelona will win something this season \?,5,1
they play in camp nou,do you think barcelona will win something this season \?,5,1
who is your favorite player?,i admire chelsea,5,2
my favorite team is everton.,i admire chelsea,5,2
chelsea is better than everton,i admire chelsea,5,2
this is not a question but i agree to that statement.,i admire chelsea,5,1
1905,i admire chelsea,5,1
4,how many times has germany won the world cup \?,5,5
they won in 2014 in brazil.,how many times has germany won the world cup \?,5,1
klose,how many times has germany won the world cup \?,5,1
i think it needs time and a new coach.,how many times has germany won the world cup \?,5,1
he is very disorganised.,how many times has germany won the world cup \?,5,1
"yes, but i wanted croatia to win because they were underdogs.",do you think france deserved the win against croatia in the final of the world cup \,2,3
not at all! france deserved that win for sure. they were the best team in the whole tournament.,do you think the win against croatia in the final of the world cup \?,2,1
can france win back to back world cups,do you think the world cup \?,2,1
france has a very effective defense working in their favor at the moment.,do you think the win against croatia in the final of the world cup \?,2,1
the defense and the goalkeeper are very much mutually,do you think the win against croatia in the final of the world cup \?,5,2
many people like them.,i completely love barcelona,5,1
lionel messi,i completely love barcelona,5,1
7,i completely love barcelona,5,1
no player is compared to maradona,i completely love barcelona,5,1
mention the best player of barcelona,i completely love barcelona,5,1
the atletico de madrid,which team beat real madrid in uefa super cup 2018 \?,5,2
every 7 years or so.,which team beat real madrid in uefa super cup 2018 \?,5,1
i have to look up,which team beat real madrid in uefa super cup 2018 \?,5,1
difficult to say actually,which team beat real madrid in uefa super cup 2018 \?,5,1
"i think antuan griezmann, from atletico madrid",which team beat real madrid in uefa super cup 2018 \?,5,1
"yes because he is getting pretty old now, and real madrid need to find a promising young player. so yes he is worth the money.",is ronaldo worth the money \?,5,1
i'm sure real madrid will waste the money somehow on overrated goalkeepers !,is ronaldo worth the money \?,5,2
anybody can be replaced.,is ronaldo worth the money \?,5,2
if i missed him for everything that led me to madrid,is ronaldo worth the money \?,5,2
i think he will do very well,is ronaldo,1,1
i think they will,do you think real madrid will win la liga this year \?,5,1
i think that they have a great future ahead of them,do you think real madrid will win la liga this year in all the \?,5,1
santiago solari is the new coach,do you think real madrid will win la liga this year in all the,5,1
florentino perez is the manager,do you think real madrid will win la liga this year \?,5,1
santiago bernabeu is the name of their stadium,do you think real madrid will win la liga this year in all the \?,5,1
it's hard to say but my guy says yes,do any aging people play for brazil \?,5,1
i'm sure it's a lot of time.,do any aging people play for brazil \?,5,1
mention the goalkeeper of brazil,do any aging people play for brazil \?,5,2
alisson becker also plays for liverpool,do any aging people play for brazil \?,5,1
belgium,do any aging people play for brazil \?,5,1
"yes, they even beat the english team in the knockout rounds going farther than they ever have in a major tournament.",did iceland play in the 2016 euros \?,5,1
iceland was an underdog in the last world cup.,did iceland play in the 2016 euros \?,5,2
gylfi sigurdsson kari arnason olafur ingi skulason,did iceland play in the 2016 euros \?,5,1
i like sigurdsson,did iceland qualified for the 2016 euros \?,5,1
they certainly surprised a lot of people. the way they play proved difficult for most teams to score on.,did,1,1
thomas lemar was probably the most important to the france squad from nigera. there were a lot of france players from other african nations.,playing't all the best nigerian players play for france this year \?,1,1
believe 12 or 13 squad members were from african countries.,playing \?,1,1
yes i agree,playing \?,1,1
i think belgium has quite a handful of african origin players but that of france cant be compared to theirs.,playing only all the best nigerian players play for france this year \?,5,1
"i don't think nigeria have much chance, as they lack quality in defence",playing \?,1,1
"11 players per team, 22 in total.",playing \?,1,2
barcelona has 10 spaniards.,barcelona has how many spanianni on their roster \?,1,3
"yes, this year too.",barcelona has how many spanianni on their roster \?,1,1
five,how many times have liverpool won the champions league \?,5,1
more than 50%,how many times have liverpool won the champions league \?,5,1
"possibly, due to mohamed salah's fantastic form recently.",how many times have liverpool won the champions league \?,5,1
is salah a good header?,how many times have liverpool won the champions league \?,5,1
liverpool has a great header,how many times have liverpool won the champions league \?,5,1
their nickname is the red devils.,this is my favorite my team,5,1
2nd,this is my favorite my team,5,1
manchester city or liverpool this season,this is my favorite my team,5,1
manchester united might win,this is my favorite my favorite my team,3,1
it was more than just one player the team effort is what counts.,this is my favorite my favorite my team,2,1
"turin, 1897.",where is juventus located and what is the age to make the teams \?,1,1
"turin, italy is the answer.120 years is the age november 1, 1897.",where is the age to make the teams \?,1,1
no there are some clubs founded in the 1860's,where,1,1
they have at least more wins than losses.,where is the teams \?,2,1
i was not able to find it but i did see that they only lost 6 home games in 6 years!,where is the age to make the teams \?,1,2
good team,i think portugal was lucky winning the european championship in 2016 \? what do you think,4,1
i think portugal has the better players but mexico works better as a team.,i think \?,1,2
i think that portugal would win tighly,i think,1,2
"yeah, he's their top scorer and captain.",i think,1,1
would they be significantly crippled without him though?,i think \?,1,1
i dont,i like the team argentina,5,1
zanetti is a pretty good defender for argentina.,i like the team argentina,5,1
i love to watch oatamendi.,i like the team argentina,5,1
"i agree, they could've gone so much further",i like the team argentina,5,1
remember when they beat usa 4-1?,i like the team argentina,5,1
don't you think they are a bit over-rated?,i really love the team atletico madrid,4,4
what has the nfl got to do with football?,i really love the team atletico madrid,4,2
"i think that although they are both soccer, they are very different",i,1,1
"red, blue and white",i,1,1
hes name is estadio metropolitano,i really love the team atletico madrid,5,1
"yeah, switzerland is awesome, especially with all their high-altitude soccer. i don't know how they do it, but that ball never touches the ground when they play!",love switzerland,5,3
he was traded to liverpool but he was a star.,love switzerland,5,1
i think that they do not play well enough at the moment to win,love switzerland,5,1
they can win every team is able to win wc.,love switzerland,5,1
shaqiri may be their best player,love switzerland,5,1
"probably francesco totti, but i'm not sure.",who has received the most red cards for italy \?,5,1
who is your favorite player ?,who has received the most red cards for italy \?,5,1
my favorite player is totti and the player with the most red balls is the genaro gatusso and the red card is when there is a serious fault,who has received the most red cards for italy \?,5,1
i agree that it will,who has received the most red cards for italy \?,5,1
totti is defintily the worst player and i don't like him.,who,1,1
can't agree more!,soccer play is nice game in the worldakers,3,1
always the porto is a team to beat,soccer play is nice game in the past \?,5,1
"i agree, the porto has a rival team and is sporting",soccer play is nice game in the past \?,5,1
yes they will,soccer play is nice game in the past \?,5,1
"yes, they are supported by their home fans. they are called portistas.",soccer play is the past \?,1,1
"fc porto has 37 wins, 8 draws and 6 losses in the 2017-2018 season.",how is fc porto emblem record this year \?,5,2
i do not follow the primeira liga but it seems like porto is always coming over the top in portugal.,how is fc porto emblem record this year \?,5,1
i don't think the portuguese teams will do that well in europe this season.,how is fc porto emblem record this year \?,5,1
ronaldo is not on his prime anymore and he's getting older,how is not they are on the 2016 \?,1,1
is he in his all time best shape ever?,how is not \?,1,1
yes 4 times,has italyanni national team ever won the world cup \?,4,1
no,has italyanni national team ever won the world cup \?,4,1
who's the best player in italy?,has italyanni national team ever won the world cup \?,4,1
i don't think he is anymore.,has italyanni national team ever won the world cup \?,4,1
then he can't be that good.,has italyanni \?,1,1
hopefully they are not too wore out to play,they are named all weekugar,3,1
red and white,they are named all weekugar,3,1
if they have been white and red for a long time,they are named all weekugar,3,1
ronaldo luis nazario de lima popularly known as ronaldo el fenomeno born in 1976.,they are named all weekugar,3,1
stephane chapuisat may be their best striker historically,they are named all weekugar,3,1
ballspielverein borussia 09 e.v. dortmund,what does bvb stand for \?,5,1
"yes it is, of course.",what does bvb stand for \?,5,1
"only 11 of the 29 players in dortmund's first team are german, which is one of the lowest ratios in the bundesliga.",what does bvb stand for \?,5,1
"loads, bvb dortmund represent many nations and backgrounds.",what does bvb stand for \?,5,1
"yes, his best player is marco reus",what does bvb dortmund have any german players on the team \?,3,1
"based on last season, liverpool finished in a higher league position than chelsea.",who is better chelsea or liverpool \?,5,2
"i think petr cech, but i'm not sure.",who is better chelsea or liverpool \?,5,1
bad,who is better chelsea or liverpool \?,5,2
they have won more premier league titles than liverpool.,who,1,1
lukaku does not play for chelsea he plays for manchester united !,who is better chelsea or liverpool \?,5,3
wikipedia shows that eidur gudjohnsen is the iceland top goalscorer of all time. he scored 26 goals.,who is the iceland top goalscorer of all time?,5,3
probably gudjohnsen,who is the iceland top goalscorer of all time?,5,1
i hope so.,who is the iceland keep up their highest,1,1
edinson cavani,who is currently the top scorer for uruguay \?,5,1
celso otero,who is currently the top scorer for uruguay \?,5,1
i don't think he did a good job with muslera,who is currently the top scorer for uruguay \?,5,1
"no, they are not at that level this season.",who is currently the top scorer for uruguay \?,5,1
the iceland team is fierce this year,good short,5,1
i don't think they'll go far,good short,5,2
"croatia, peru and nigeria beat iceland",good short,5,1
peru 3-1 croatia 2-1 nigeria 2-0,good short,5,1
they have plenty of players,how many british players does bvb dortmund have \?,5,3
"they have one british player, jadon sancho",how many bvb dortmund have \?,5,1
raphael adelino jose guerreiro is portugese,how many bvb dortmund have \?,5,1
no i personally dont think he is,how many bvb dortmund have \? inian,5,1
"by far, christian pulisic.",how many bvb dortmund have \?,5,1
"even with the injuries to neymar last season psg were able to easily cruise to the title, mbappe should take a lot of pressure off of neymar.",are paris sg a toanni on neymarenez,1,1
"yes, it's bad for one team to rely on a star like neymar, no matter how good he is. we see how the pressure gets to them and hurts their confidence.",are paris sg a to basics on neymar emblem,3,1
"kylian mbape, the young star from the french world cup winning team is always a strong insurance policy.",are paris sg a to basics on neymar a to basics on neymar a,3,1
i think stanley n'soki shows real potential.,are paris sg a to basics on neudbol \?,5,1
i disagree; i think paris sg can afford n'soki.,are paris sg a to basics on neudbol \?,5,1
probably harry maguire after his performance at the world cup.,are there any other promising a to get any other promising a,1,1
somewhere around 2000's.,when was the last time sweden beat england \?,5,1
who's sweden's best player,when was the last time sweden beat england \?,5,2
what is sweden's shirt colour ?,when was the last time sweden beat england \?,5,2
zlatan is the best sweden player,when,1,1
zlatan ibrahimovic is the best swedish player ever.,when was the last time sweden beat england \?,5,5
"no specific founder, like most spanish clubs they were started by university students.",who is the founder of this team \?,5,1
athleti,who is the founder of this team \?,5,1
luis aragones,who is the founder of this team \?,5,1
i think he's one of their best.,who is the founder of this team \?,5,1
red white and blue,who is the founder of this team \?,5,1
eventually,will portugal ever win the fifa world cup \?,5,1
no. they reached the semis in 1966 and 2006.,will portugal ever win the fifa world cup \?,5,2
what does the end of the euro have to do with portugal football?,will portugal ever win the fifa world cup \?,5,2
they need better youth players,will portugal ever win the fifa world cup \?,5,1
not that i'm aware of any.,will portugal ever win the fifa world cup \?,5,1
"liverpool wasn't first, manchester city was. this means manchester city is a better team than liverpool.",liverpool is the best english team approached not it \?,3,2
no,liverpool is the best english team approached not it \?,3,1
in my opinion it is the liverpool for having reached the final of the champions,liverpool is the best english team approached not it \?,3,2
"at the end of the season, the team that lifted the most major trophies.",liverpool is the best english team approached not it \?,3,1
jurgen klopp is their manager.,liverpool is the best english team approached not it \?,3,1
what players are you keeping your eyes on?,i really love the team,5,1
some of these questions are really just answers and i do not know how to answer an answer properly,i really love the team,5,1
it seems very good to me as they transmit the games,i really love the team,5,1
"yes, if i prepare",i really love the team,5,1
fantasy football is very boring,i really love the team,5,1
uruguay is okay but none of the players stand out.,i really like this team,5,1
uruguay is a good team that could have done more in this 2018 world cup,i really like this team,5,1
"yes, if it is available to win the world cup",i really like this team,5,1
i wonder how he is too since he's in contract till 2021,i really like this team,5,1
oscar tabarez is their manager.,i really like this team,5,1
a question for the ages.,who is the real madrid,3,1
"on wednesday, august 15, i think it's your next game",who is the real madrid ',3,1
real madrid will play atletico madrid for a cup on wednesday.,who is the real madrid,3,2
if they had,who is the real madrid play another football match \?,2,1
who does real madrid play after they play atletico madrid?,who is the real madrid 's any friend \?,1,2
who is their current manager?,i love the team italy,4,2
if he is the current chelsea coach,i love the team italy,4,1
what is italy's couching staff like now?,i love the team italy,4,1
"yes, all coaches are well paid.",i love the team italy,4,1
lorenzo insigne.,i love the team italy,4,1
i don't see a problem with it,do you think it is fair that switzerland had so many aging in their team \?,4,5
i don't know if the team is really impacted by military politics.,do you think it is not the past many \? 's not the past many \?,1,1
it fact it's one of the most diplomatically active and neutral countries. they are hosting many summits and helping other parties to solve their hot conflicts. but in football they need a bit more aggression i think.,do you think it,2,1
"it could help them score more goals, but it could also affect their focus on defense.",do you think it,2,1
"you mean ""their"" not ""there"".",do you think it,2,1
"yes,true.me too",i really love the team ac milan,5,2
"no, i like them for the players they bring to the team in the past few years, their defense is really good.",i really love the team ac milan,5,1
"well, in addition to their domestic league and cup, ac milan qualified for the 2018/19 uefa europa  league.",i really love the team ac milan,5,1
there were quite a few but the most expensive was gonzalo higuain from juventes.,i really love the team ac milan,5,1
i think so however we won't know until the season starts,i really love the team ac milan,5,1
i'm not really a fan.,i love real madrid,5,3
the best player of all time has been voted ronoaldo,i love real madrid,5,1
they have toni kroos now,i love real madrid,5,1
the best player currently in real madrid is modric,i love real madrid,5,2
"yes, they are all-time best in their league.",i love real madrid,5,2
very good team,i like ac milan more than some other teamsesm,3,2
but they have fallen away a bit recently.,i like ac milan are a great team formed,2,3
they will came back again?,i like ac milan are a great team formed,2,3
this is absolutely one of my favorite team,i like ac milan are a great team formed,2,3
utilize current roster with the right formations and tactics,i,1,1
yes most competitive team,portugal is the best team in europe \?,5,3
cristiano ronaldo,portugal is the best team in europe \?,5,4
did they win last year?,portugal is the best team in europe \?,5,4
they did not win last year,portugal is the best team in europe \? a3ents there team captain \? a,5,1
he scored 41 goals in just 64 appearances.,portugal is the best team in europe \? a3ents there team captain \? a,5,3
they played the  villar perosa friendly today.,i like team,2,1
i am not sure,i like team,2,1
do you think the other players resent ronaldo's fame?,i like team,2,1
juventus needs ronaldo,i like team,2,1
ronaldo makes juventus a lot better,i amrid and bere \?,1,1
"france may have had a fair share of luck but they also have a team of young, promising players, so they do deserve to be the champions.",world cup champion 2018toc is it fair \?,5,1
is france's biggest rival liverpool?,world cup champion 2018toc is it fair \?,5,1
mbappe,world cup champion 2018 engrid fair \?,5,1
how many teams are int france top league?,world,1,1
"blue, white and red",world cup champion 2018 engrid fair \?,3,1
"yes, cristiano ronaldo is the captain of portugal.",is cristiano ronaldo  the captain of this team \?,4,3
who gets the arm band when ronaldo is done?,is cristiano ronaldo  the captain of this team \?,4,2
"varane is the next captain after cristiano. and yes, he can make it, just have to make an effort",is cristiano ronaldo  the captain of this team \?,4,3
professionally in 2002 buto,is cristiano ronaldo  the captain of this team \?,4,1
154 caps and 85 goals,is cristiano ronaldo the captain of this team \?,4,1
estadio do dragao,what is the name of fudcrea stadium \?,4,1
"that is f.c. porto's stadium, barcelona is camp nou",what is the name of fudbol do dragao is the stadium \?,3,1
"yes,their coach was jose mourinho at that time.",what is the name of fudbol do dragao is the stadium \?,3,1
i'd say vana.,what is the name of fudbol do dragao is the champions \?,3,1
he isn't that old.,what is the stadium \?,2,1
very good team,how did argentina do in this years world cup \?,3,1
"yes, twice. in 1978 and in 1986.",how did argentina do in this years world cup \?,3,1
"no, there is to much pressure for him",how did argentina do in this years world cup \?,3,1
"q: what year did argentina win the world cup? a: argentina is one of the most successful national football teams in the world, having won 2 world cups in 1978 and 1986",how did argentina do in this years world cup \?,3,2
"argentina had predictable routes and attacks set up for the world cup, that is why they didn't do so well this time.",how did not like the world cup \?,1,2
great german side,bayern,5,1
fc bayern munich ev,bayern,5,1
"February 27, 1900",bayern,5,1
uli hoeneb,bayern,5,1
what was the team's overall score this season?,bayern,5,1
who is your favorite player ?,love spain,5,2
i also like that team but my favorite player is andres iniest,love spain,5,2
isco,love spain,5,1
"again, isco for sure!",love spain,5,1
who said they are getting a new manager,love spain,5,1
come on -- your question is meaningless.,do you think this team will qualify for the next world cup \?,5,1
india won't qualify.,do you think this team will qualify for the next world cup \?,5,1
i think the employee is a good candidate,do you think this team will qualify for the next world cup \?,5,1
why do you think so?,do you think this team will qualify for the next world cup \?,5,1
i agree brazil needs to put in better effort for plays,do you think this team will qualify for the next world cup \?,5,1
i dont,i really love the team italy,5,1
italy last won the world cup in 2006.,i really love the team italy,5,1
i absolutely adore italy,i really love the team italy,5,1
"there's definitely a chance, but we'll have to wait and see!",i really love the team italy,5,1
they dont have a good player,i really love the team italy,5,1
luka modric,lu any modric or ivan rakitic best player \?,1,1
es genial su juego croatia,lu any modric or ivan rakitic best player \?,1,1
juega luka croatia,lu any modric or ivan rakitic best player \?,1,1
"croatia has never won the world cup, still, for the size of the nation they have out performed what would be expected of a similarly sized country.",lu any modric or ivan rakitic best player \?,1,1
yes he is croatia's best player and their captain,lu any modric or ivan rakitic best player \?,1,1
they are doing well considering that their national league is not that strong.,i absolutely adore mexico,5,1
estadio azteca.,i absolutely adore mexico,5,1
i don't think so,i absolutely adore mexico,5,1
no they never have,i absolutely adore mexico,5,1
what does mexico need to win the next world cup,i absolutely adore mexico,5,2
they have better players,why do you think switzerland beat northern ireland \?,5,1
"more immigration seems to help the swiss team (see akanji, embolo, shaqiri, xhaka, etc.).",why do you think switzerland beat northern ireland \?,5,1
q1:its is cooling place? a1:yes,why do you think switzerland beat northern ireland \?,5,1
what is the furthest that the switzerlabd team has ever nade it in the world cup?,why do you think switzerland beat northern ireland \?,5,2
"no, they haven't.",why do you think switzerland beat northern ireland \?,5,1
not this year.,did manchester united emblem any transfers \?,2,1
they are 7th in the premier league,did manchester united emblem any transfers \?,2,1
it has been debated that they should get rid of players who do not have the right mentality.,did manchester united emblem any transfers \?,2,1
"in the premier league era, yes, he's been the most successful.",did manchester united emblem any transfers \?,2,1
what league belongs manchester united,did manchester united emblem any transfers \?,2,1
andres escobar saldarriaga,what was the name of the colombian player who was shotanni for scoring an own goal \,2,1
i believe they received counselling.,what was the name of the colombian player who was shotanni for scoring an own goal,2,1
he scored an own goal,what was the name of the colombian player who was the colombian player who was the,2,1
really feeling sad just to know this.,what was the colombian player who was the colombian player who was the colombian,2,1
i don'lt like pepe on their team.,i like the team portugal,5,1
if he plays very rough,i like the team portugal,5,2
"he is the best in the world, i like his way of playing and i sympathize with his story",i like the team portugal,5,2
cristiano ronaldo,i like the team portugal,5,2
i think messi is the best player,i like the team portugal,5,1
now their best player is cristiano ronaldo.,who do you think is the best player in juventus \?,5,1
what teams has cristiano ronaldo played for?,who do you think is the best player in juventus \?,5,1
how much money did he cost juventus?,who do you think is the best player in juventus \?,5,2
paulo dybala is a very strong player on juventus. he might be number 2 after ronaldo but he could also be number 1.,who,1,1
the best player in juventus is ronaldo christian the best in the world,who,1,1
uefa champions league and uefa europa league,what is the emblem of ucl and uel \?,5,1
world cup,what is the emblem of ucl and uel \?,5,1
of course it does,what is the emblem of ucl and uel \?,5,1
until the hour is real madrid the best team in europe,what is the,2,1
i think so,what is the best team \?,2,1
"yes, as they won the final last time...",do you think this team will qualify for the next world cup \?,5,1
"it is possible that france will win the next world cup, but there are many variables and things could change by 2022.",do you think this team will qualify for the next world cup \?,5,1
"yes, i think it will be still the same coach in 2022.",do you think this team will qualify for the next world cup \?,5,1
france is definitely the best,do you think this team will win the next world cup \?,5,1
france has a lot of future with mbappe,do you think this team will qualify for the next world cup \?,5,1
"atletico madrid is a newer team, but they have a lot of potential.",i really love the team atletico madrid,5,2
it was founded on the 26 april 1903,i really love the team atletico madrid,5,1
diego simeone,i really love the team atletico madrid,5,1
angel correa is number 10,i really love the team atletico madrid,5,1
he is the forward.,i really love the team atletico madrid,5,1
i like iker casillas.,i'm not a big fan of freacups can not a big fan of fudc,1,1
where are they from?,i'm not a big fan of fudc,5,1
i am not familiar with fc porto.,i'm not a big fan of fudc,5,1
what caused the fight?,i,1,1
no i can't confirm that.,i'm not a big fan of fudc,5,1
"q6: what about fc. porto next season? a6: not sure, lets chat next week",i'm not a great clinical,2,1
griezmann,who is the fastest player in the atlents \?,5,1
they have two. griezmann and diego costa,who is the fastest player in the atlents \?,5,1
i think griezmann.,who is the fastest player in the atlents \?,5,1
jan oblak is one of the keepers for them,who,1,1
he is 26 years old.,who is the fastest player in the atlents \?,5,1
"yeah,you're right.",liverpool would be a good idea,5,3
may be..,liverpool would be a good idea,5,1
"individual commitment to a group effort: that is what makes a team work, a company work, a society work, a civilization work. -- vince lombardi",liverpool would be a good idea,5,1
"yes, on 7/28 they won 4-1",liverpool win the league this season \?,3,1
i think that liverpool will be the better team,liverpool would be a good idea,3,3
may be arsenal win premier league in 2018-19? do you believe them? what is your opinion about arsenal?,will arsenal win the premier league in 2018 preparation \?,5,3
yes. who is your fav player?,will arsenal win the premier league in 2018 preparation \?,5,1
i don't like any of there players,will arsenal win the premier league in 2018 preparation \?,5,1
no i am not a against arsenal... because  am arsenal lover,will arsenal win the premier league in 2018 preparation \?,5,2
"arsenal is a great player, who wouldn't love him",will arsenal win the premier league in 2018 preparation \?,5,2
i don't understand people that hate them. have a good day and take care my friend.,will arsenal win the premier league in 2018 preparation \?,5,1
italy are in a re-building phase.,i really love the team italy,5,3
italina always finds the way to go to the world,i really love the team italy,5,3
currently the italy goalkeeper is buffon,i really love the team italy,5,1
i think they are overly emotional when it comes to their football team,i really love the team italy,5,1
did you know who is the goalkeeper of italy?,i really love the team italy,5,1
very good team,who is the manager of bayern munich \?,5,1
yes and munich hates him.,who is the manager of bayern munich \?,5,1
this is one of my favorite team,who is the manager of bayern munich \?,5,1
the best team in the bayern,who is the manager of bayern munich \?,5,1
"yes, they were the best in the bundesliga during the 2017-2018 season.",who,1,1
i think finishing in round of 16 was expected.,did mexico do better than expected in the last world cup \?,3,1
no they are very average and were.expected to get through the qualifying group.,did mexico do better than expected in the last world cup \?,3,1
not really if you consider germany's performance,did mexico do better than expected in the last world cup \?,3,1
andres guardado (captain),did mexico,1,1
since 2012,did mexico do better than expected in the last world cup \?,3,1
very good team,spain have been a huge disappointment this past yearrea and to top it all off they had a,2,1
are numerous to list for spain.,spain have been a huge disappointment this past yearrea and to top it all off they had a,2,2
23 players in the spain squad,spain have been a huge disappointment this past year \?,3,2
that one guy that score the goals.,spain have been a huge disappointment this past yearrea and to top it all off they had a,2,2
absolutely. it might take a while though.,spain have been a huge disappointment this past yearrea and to top it all off they had a,2,1
"no, i wasn't because they are a very strong team.",were you surprised at senegal emblem run in the last world cup \?,2,1
that would be thomas jefferson,were you surprised at senegal emblem run in the last world cup \?,2,1
sadio mane,were you,1,1
they play in green and white - very stylish :),were you,1,1
they dont have one,were you surprised at senegal emblem run in the last world cup \?,2,1
yes - finishing third was extremely commendable and they had some very convincing wins.,were youents with the belgian team emblem performance in the 2018 world cup \?,1,1
i think it was 25,were youents with the belgian team emblem performance in the 2018 world cup \?,1,1
