original_Entity,predicted_Entity,Input Query
<no_ent>,<no_ent>,"win their first fa cup final? 1928, 1930 or 1932? 1930 <eou> 1930 <eou> who is mexico's best player ever?"
<no_ent>,<no_ent>,<eou> 1930 <eou> who is mexico's best player ever? <eou> hugo sanchez marquez <eou> mexico has the current best player.
<no_ent>,<no_ent>,has the current best player. <eou> why are mexico not a more significant force in football? <eou> i'm not sure
<no_ent>,<no_ent>,bayern
<no_ent>,<no_ent>,bayern <eou> great german side <eou> whats the team name from bayern?
bayern munich,<no_ent>,german side <eou> whats the team name from bayern? <eou> fc bayern munich ev <eou> when was the team established?
<no_ent>,<no_ent>,"<eou> fc bayern munich ev <eou> when was the team established? <eou> february 27, 1900 <eou> who's their current president?"
<no_ent>,<no_ent>,"<eou> february 27, 1900 <eou> who's their current president? <eou> uli hoeneb <eou> who is their all time top scorer?"
<no_ent>,<no_ent>,ac milan has a strong team this year.
<no_ent>,<no_ent>,"a strong team this year. <eou> milan look good this year. <eou> sure, but don't they look good every year?"
<no_ent>,<no_ent>,"year? <eou> yes, they are a top team. <eou> what makes ac milan so good this year according to you?"
ac milan,<no_ent>,what makes ac milan so good this year according to you? <eou> honesty <eou> what color are ac milan's jerseys?
<no_ent>,<no_ent>,what color are ac milan's jerseys? <eou> black and red <eou> which stadium does ac milan play the home games?
<no_ent>,<no_ent>,i absolutely adore liverpool
<no_ent>,<no_ent>,absolutely adore liverpool <eou> best team in the uk. <eou> what do you think their record will be this year?
<no_ent>,<no_ent>,"be this year? <eou> bettere then there 4-5 record last year, i hope <eou> can they win the premier league?"
<no_ent>,<no_ent>,"<eou> can they win the premier league? <eou> no, but they will be up there in rank. <eou> why not?"
<no_ent>,<no_ent>,up there in rank. <eou> why not? <eou> perhaps they lack some overall depth <eou> which player should they buy?
<no_ent>,arsenal,who is current uruguya's coach?
<no_ent>,<no_ent>,who is current uruguya's coach? <eou> don't know <eou> óscar tabárez
<no_ent>,<no_ent>,"don't know <eou> óscar tabárez <eou> yes, oscar tabarez is uruguay's head coach. <eou> does he do a good job?"
<no_ent>,<no_ent>,the one that was presented in the world cup with injured cavani <eou> what colors are the jerseys of uruguay?
<no_ent>,<no_ent>,what colors are the jerseys of uruguay? <eou> sky blue and black <eou> if so are the colors of uruguy
<no_ent>,<no_ent>,who knocked out iceland in the 2016 european championships?
<no_ent>,<no_ent>,who knocked out iceland in the 2016 european championships? <eou> france <eou> france by winning 5-2
<no_ent>,<no_ent>,european championships? <eou> france <eou> france by winning 5-2 <eou> impressive victory <eou> will iceland come into the championship again?
<no_ent>,<no_ent>,again? <eou> i don't see why not. <eou> who was the top goal scorer for iceland in the 2017 season?
<no_ent>,<no_ent>,goal scorer for iceland in the 2017 season? <eou> gylfi sigurðsson <eou> how do you like the performance of iceland?
<no_ent>,<no_ent>,how many goals did bvb dortmund score last season?
<no_ent>,<no_ent>,how many goals did bvb dortmund score last season? <eou> 64 goals. <eou> who was their leading scorer?
<no_ent>,<no_ent>,64 goals. <eou> who was their leading scorer? <eou> pierre-emerick aubameyang <eou> will dvb dortmund ever win a world cup?
<no_ent>,<no_ent>,"dortmund ever win a world cup? <eou> no, because they are a club team. <eou> 64 is the best goal?"
<no_ent>,<no_ent>,is the best goal? <eou> the best goal was the one that scored aubameyang <eou> who was bvb's starting goalie?
<no_ent>,<no_ent>,who is the real madrid
<no_ent>,<no_ent>,who is the real madrid <eou> a question for the ages. <eou> when does real madrid play another football match?
<no_ent>,<no_ent>,"another football match? <eou> on wednesday, august 15, i think it's your next game <eou> who’s real madrid’s first game"
<no_ent>,<no_ent>,real madrid will play atletico madrid for a cup on wednesday. <eou> did they have any friendlies in pre season?
<no_ent>,<no_ent>,wednesday. <eou> did they have any friendlies in pre season? <eou> if they had <eou> who is favored to win?
<no_ent>,<no_ent>,i admire chelsea
<no_ent>,<no_ent>,i admire chelsea <eou> who is your favorite player? <eou> i like chelsea the best. how about you?
<no_ent>,<no_ent>,like chelsea the best. how about you? <eou> my favorite team is everton. <eou> how do chelsea compare with everton?
<no_ent>,<no_ent>,everton? <eou> chelsea is better than everton <eou> ronald koeman says everton man has accepted lack of first team chances
chelsea,<no_ent>,chances <eou> this is not a question but i agree to that statement. <eou> when was the chelsea team founded?
<no_ent>,<no_ent>,how many times has iceland qualified for the world cup?
<no_ent>,<no_ent>,has iceland qualified for the world cup? <eou> just once. <eou> at least they had a great match against argentina
<no_ent>,<no_ent>,had a great match against argentina <eou> only one time <eou> do they qualify again in the next 50 years%
<no_ent>,<no_ent>,next 50 years% <eou> iceland could qualify at any time. <eou> how did iceland become so strong considering past performance?
<no_ent>,<no_ent>,so strong thanks to the strong training <eou> do you think they'll be able to perform as well in 2019?
<no_ent>,<no_ent>,who is brazil's all-time goal score leader?
<no_ent>,<no_ent>,who is brazil's all-time goal score leader? <eou> ronaldo. <eou> ronaldo good?
<no_ent>,<no_ent>,ronaldo. <eou> ronaldo good? <eou> is the incredible team leader! <eou> most of the players on brazil's team are amazing.
<no_ent>,<no_ent>,most of the players on brazil's team are amazing. <eou> that's not a question. <eou> when neymar debuted in brazil?
<no_ent>,<no_ent>,when neymar debuted in brazil? <eou> for brazbr in 2009 <eou> how many world cups has the brazil team won?
<no_ent>,<no_ent>,"have been a huge disappointment this past year, and to top it all off they had a terrible world cup."
<no_ent>,<no_ent>,"year, and to top it all off they had a terrible world cup. <eou> very good team <eou> skilled players"
<no_ent>,<no_ent>,good team <eou> skilled players <eou> are numerous to list for spain. <eou> how many players on the spain team?
<no_ent>,<no_ent>,team? <eou> 23 players in the spain squad <eou> which of those 23 players is the best player for spain?
<no_ent>,<no_ent>,<eou> that one guy that score the goals. <eou> will spain redeem themselves after the crushing loss in wc 2018?
portugal,<no_ent>,is cristiano ronaldo the captain of this team?
<no_ent>,<no_ent>,"ronaldo the captain of this team? <eou> yes, cristiano ronaldo is the captain of portugal. <eou> ronaldo captains portugal yes."
<no_ent>,<no_ent>,<eou> who gets the arm band when ronaldo is done? <eou> can ronaldo make it to the 2022 world cup?
<no_ent>,<no_ent>,"after cristiano. and yes, he can make it, just have to make an effort <eou> when did ronaldo start playing?"
<no_ent>,<no_ent>,<eou> when did ronaldo start playing? <eou> professionally in 2002 buto <eou> how many caps does he have for portugal?
<no_ent>,<no_ent>,what is fc.porto?
<no_ent>,<no_ent>,porto is a soccer team that recently competed against the chaves. <eou> what league does fc porto currently compete in?
<no_ent>,<no_ent>,in? <eou> fc. porto currently compete in the primeira liga. <eou> are they considered a force to be reckoned with?
<no_ent>,<no_ent>,"<eou> yes, they are a team to keep an eye on. <eou> why should i keep an eye on them?"
<no_ent>,<no_ent>,"of the biggest clubs in portugal, they almost always challenge for the title. <eou> what else they got going on?"
<no_ent>,<no_ent>,how many goals in average does your team make per game?
<no_ent>,<no_ent>,team make per game? <eou> well during the world cup 2.64 goals were scored per game <eou> griezmann is great
<no_ent>,<no_ent>,<eou> france scored 4 goals in the world cup. <eou> who is the leading scorer of all time for france?
<no_ent>,<no_ent>,all time for france? <eou> thierry henry has scored 51 goals. <eou> how many times has france won the cup?
<no_ent>,<no_ent>,scored 51 goals. <eou> how many times has france won the cup? <eou> twice <eou> after henry is antoine griezmann
<no_ent>,<no_ent>,will uruguay win the world cup next time?
<no_ent>,<no_ent>,aging. meanwhile teams like france will become stronger <eou> what teams in conmebol do you feel are better than uruguay?
<no_ent>,<no_ent>,"for example, brazil is typically better than uruguay year in and out. <eou> when was the last time brazil won?"
<no_ent>,<no_ent>,and out. <eou> when was the last time brazil won? <eou> 2002 <eou> what do you know about uruguay ?
<no_ent>,<no_ent>,about uruguay ? <eou> they are small country with 3 million population <eou> how do you feel about future football?
<no_ent>,<no_ent>,will bayern munich win the champions league?
<no_ent>,<no_ent>,"munich win the champions league? <eou> no, juventus will win the champions league. <eou> how far will bayern munich go?"
<no_ent>,<no_ent>,"probably the semi's. <eou> if you don't think bayern munich will win the champions league, who do you think will?"
<no_ent>,<no_ent>,<eou> i think the winner will be real but bayern will get to semi-finals. <eou> when's bayern munich's next game?
bayern munich,<no_ent>,semi-finals. <eou> when's bayern munich's next game? <eou> friendly v hamburg on 15th august <eou> name of a defence player?
<no_ent>,<no_ent>,"how many catches did iker casillas caught while playing for the fc. porto team, this year?"
<no_ent>,<no_ent>,this year? <eou> hard to tell. he has lots of catches for fc. porto. <eou> can casillas do it again.
<no_ent>,<no_ent>,"<eou> can casillas do it again. <eou> at his age it might be difficult <eou> i agree, he's getting older"
<no_ent>,<no_ent>,"has replaced him well at madrid? <eou> navas has been a great goalkeeper, bit shaky at times bit good enough."
<no_ent>,<no_ent>,"great goalkeeper, bit shaky at times bit good enough. <eou> what colors ar fc. porto's jerseys? <eou> blue and white"
<no_ent>,<no_ent>,does xavi still play for barcelona?
<no_ent>,<no_ent>,does xavi still play for barcelona? <eou> i think so <eou> i think so
<no_ent>,<no_ent>,"so <eou> i think so <eou> no, he plays for al sadd sc. <eou> who re-placed xavi's position on barcelona?"
<no_ent>,<no_ent>,plays for al sadd sc. <eou> who re-placed xavi's position on barcelona? <eou> marco verratti replaced him <eou> top player?
<no_ent>,<no_ent>,on barcelona? <eou> marco verratti replaced him <eou> top player? <eou> lionel messi <eou> doe messi still play for barcelona?
<no_ent>,<no_ent>,who's the best player for argentina right now?
<no_ent>,<no_ent>,right now? <eou> lionel messi is the best player on argentina. <eou> how do you think he compares to ronaldo?
<no_ent>,<no_ent>,players in terms of their style of play in my opinion could not know which of the two is better
<no_ent>,<no_ent>,of the two is better <eou> who is argentina's best player of all time? <eou> i believe lionel messi is.
<no_ent>,<no_ent>,all time? <eou> i believe lionel messi is. <eou> who is argentina's coach? <eou> lionel scaloni is the current coach.
<no_ent>,<no_ent>,one of my favorite teams! do you think they will have a good shot at winning a championship this season?
<no_ent>,<no_ent>,shot at winning a championship this season? <eou> yes <eou> how good do you think their odds are this season?
<no_ent>,<no_ent>,other teams are even close right now <eou> who do you think barcelona's best signing of the summer has been?
<no_ent>,<no_ent>,a doubt. have you seen his stats? <eou> who do you think the next big player will be for barcelona?
<no_ent>,<no_ent>,barcelona? <eou> i'm not sure but we could calculate it given the player's performance! <eou> valverde is a strong candidate.
<no_ent>,<no_ent>,strong candidate. <eou> overall good <eou> barcelona will be tough to bet. who do you think will bring them down?
<no_ent>,<no_ent>,bayern munich has a lot of potential to win the champions league
<no_ent>,<no_ent>,they have a new coach but they also sold important players. <eou> which players do you wish they hadn't sold?
<no_ent>,<no_ent>,you wish they hadn't sold? <eou> arturo vidal and douglas costa. <eou> why are they getting rid of players anyways?
<no_ent>,<no_ent>,<eou> player one: the gamers who only want to play with themselves <eou> did you watch their last game ?
<no_ent>,<no_ent>,"watched their last game, they can do better. <eou> who do you think was their mvp for the last game?"
<no_ent>,<no_ent>,do you think this team will qualify for the next world cup?
<no_ent>,<no_ent>,"will qualify for the next world cup? <eou> what about bvb dortmund? <eou> if they play good, then they will"
<no_ent>,<no_ent>,injuries can happen and place any team in the back. <eou> does bvb dortmund have any injured players right now?
<no_ent>,<no_ent>,players right now? <eou> borussia dortmund injury update heading into the international break <eou> i do not have that information
<no_ent>,<no_ent>,"can always look it up! , who is your favorite player from dortmund? <eou> marcos reus is my favorite player"
<no_ent>,<no_ent>,i have a lot of confidence in this team
<no_ent>,<no_ent>,this team <eou> they have a strong and proven history <eou> can you give me one example of their strength?
<no_ent>,<no_ent>,of their strength? <eou> they have 28 major trophies <eou> chelsea will go on to win their 29th trophy soon.
<no_ent>,<no_ent>,or team have that have gotten them the trophies? <eou> why are you telling that trophy is not a strength?
<no_ent>,<no_ent>,are you telling that trophy is not a strength? <eou> where is chelsea located? <eou> chelsea is located in london
<no_ent>,<no_ent>,i admire brazil
<no_ent>,<no_ent>,"<eou> brazil are very good, such a fun team. <eou> how do you feel about that 8-1 loss to germany?"
<no_ent>,<no_ent>,i expected more about brazil <eou> brazil if i think it's a great team although more was expected from them
<no_ent>,<no_ent>,have become overconfident <eou> is brazil losing its place at the top or will they bounce back by next year?
<no_ent>,<no_ent>,by next year? <eou> they will probably do better by next year. <eou> how do you think brazil will improve?
<no_ent>,<no_ent>,i love argentina
argentina,<no_ent>,i love argentina <eou> my favourite too <eou> who is their coach?
<no_ent>,<no_ent>,who is their coach? <eou> lionel scaloni is the current coach. <eou> is he a good coach do you think?
<no_ent>,<no_ent>,coach. <eou> is he a good coach do you think? <eou> very good coach <eou> does argentina have good strikers?
<no_ent>,<no_ent>,argentina have good strikers? <eou> if one of his best strikers is messi <eou> who is considered their best player?
<no_ent>,<no_ent>,i really like this team
<no_ent>,<no_ent>,i really like this team <eou> man u are leaking talent right now. <eou> which middlefielder is your favorite?
<no_ent>,<no_ent>,middlefielder is your favorite? <eou> paul pogba is my favorite because he's very good. <eou> any good strikers for them?
<no_ent>,<no_ent>,strikers for them? <eou> they have great players starting with pogba <eou> do you think jose will last much longer?
<no_ent>,<no_ent>,getting tired of some of his teammates over at man u. <eou> will jose make it to the 22 cup?
<no_ent>,<no_ent>,i completely love fc. porto
<no_ent>,<no_ent>,i completely love fc. porto <eou> what is their current strip? <eou> blue and white stripes.
<no_ent>,manchester united,strip? <eou> blue and white stripes. <eou> who is the current manager of fc. porto? <eou> did mourinho manage porto
<no_ent>,<no_ent>,the current manager of fc. porto? <eou> did mourinho manage porto <eou> yes he did <eou> early life and education
<no_ent>,<no_ent>,early life and education <eou> he was educated at the technical university of lisbon <eou> which other teams he managed?
<no_ent>,<no_ent>,how many times has argentina played in the world cup?
<no_ent>,<no_ent>,"argentina played in the world cup? <eou> many times, they are an elite team. <eou> how often did they win"
<no_ent>,<no_ent>,team. <eou> how often did they win <eou> two times <eou> who is the fastest member in the argentina team?
<no_ent>,<no_ent>,the fastest member in the argentina team? <eou> angel di maria <eou> can argentina win a world cup with messi?
<no_ent>,<no_ent>,"he is getting old, am not sure about that. <eou> but maybe still they can, he is an elite talent"
<no_ent>,<no_ent>,greetings from the usa. how do you think ac milan would do if they played in mls?
<no_ent>,<no_ent>,"would beat everyone else, haha <eou> you sure? some of the mls teams are approaching ac milan's level, you know."
<no_ent>,<no_ent>,"milan's level, you know. <eou> yeah i agree <eou> would ac milan lose talent if they moved to the mls?"
<no_ent>,<no_ent>,lose talent if they moved to the mls? <eou> i definitely think so <eou> how much is ac milan worth?
<no_ent>,<no_ent>,think so <eou> how much is ac milan worth? <eou> ac milan is worth millions <eou> could ac milan win?
<no_ent>,<no_ent>,why are barcelona considered so good?
<no_ent>,<no_ent>,best player in the world in lionel messi. <eou> when was the last time they have won the champions league?
<no_ent>,<no_ent>,<eou> when was the last time they have won the champions league? <eou> 2015 <eou> will barcelona win the league
<no_ent>,<no_ent>,that they will. but it is still between the 3 top teams in spain. <eou> will barcelona win la liga
<no_ent>,<no_ent>,"<eou> will barcelona win la liga <eou> yes, i'm sure of that <eou> did barcelona win la liga last season?"
portugal,<no_ent>,who was the world cup 2018 captain for portugal ?
<no_ent>,<no_ent>,captain for portugal ? <eou> cristiano ronaldo <eou> how many goals did he score for portugal in that world cup?
<no_ent>,<no_ent>,"<eou> coinciding with this, christian was an excellent marker for this country besides being the only leader of this team"
<no_ent>,<no_ent>,marker for this country besides being the only leader of this team <eou> yes he is good <eou> detailed synopsis
<no_ent>,<no_ent>,and scored 5 goals if his team would have helped him but would have gone further in this world cup
<no_ent>,bayern munich,who is the manager of bayern munich?
<no_ent>,<no_ent>,who is the manager of bayern munich? <eou> very good team <eou> is neuer still the goalie for bayern munich?
<no_ent>,<no_ent>,is neuer still the goalie for bayern munich? <eou> yes and munich hates him. <eou> why does munich hate him?
<no_ent>,<no_ent>,is one of my favorite team <eou> the bayer has a good school of fotbol and is based on german
<no_ent>,<no_ent>,fotbol and is based on german <eou> the best team in the bayern <eou> is this team a good one
<no_ent>,<no_ent>,brazil is a good team to play against
<no_ent>,<no_ent>,brazil is a good team to play against <eou> only if you are argentina! <eou> does argentina always beat brazil?
<no_ent>,<no_ent>,"always beat brazil? <eou> no, they have similar win rates playing between them. <eou> how does brazil compare to croatia?"
<no_ent>,<no_ent>,is the better team. <eou> croatia was better this time around but i think brazil is still a better squad
<no_ent>,<no_ent>,think they let themselves down this time around. <eou> do you remember when brazil played germany two world cups ago?
<no_ent>,<no_ent>,portugal win the world cup?
<no_ent>,<no_ent>,"win the world cup? <eou> no, portugal didn't win the world cup, francia wins. <eou> portugal win the last eurocup?"
<no_ent>,<no_ent>,wins. <eou> portugal win the last eurocup? <eou> yes they won the last europcup <eou> what was the final score?
<no_ent>,<no_ent>,europcup <eou> what was the final score? <eou> 3-1 <eou> do you think portugal will win the next world cup
<no_ent>,<no_ent>,world cup <eou> i don't think they have a chance of winning <eou> is portugal on of the best teams?
<no_ent>,<no_ent>,i really love the team uruguay
<no_ent>,<no_ent>,the team uruguay <eou> i too am a huge fan of this team <eou> who is your favorite uruguay player?
<no_ent>,<no_ent>,"your favorite uruguay player? <eou> luis suarez <eou> luis suarez is my favorite player from uruguay, after cavani, of course."
<no_ent>,<no_ent>,course. <eou> is luis suarez the top goal score for the uruguay national team. <eou> no i don’t believe so
<no_ent>,<no_ent>,<eou> no i don’t believe so <eou> who is then? <eou> my best pick would have to be edinson cavani
<no_ent>,<no_ent>,do you think this team will qualify for the next world cup?
<no_ent>,<no_ent>,-- your question is meaningless. <eou> name a team that will almost certainly not qualify for the next world cup
<no_ent>,<no_ent>,qualify for the next world cup <eou> india won't qualify. <eou> how about a team thats a lock to qualify?
<no_ent>,<no_ent>,to qualify? <eou> i think the employee is a good candidate <eou> a team that will qualify will be brazil
<no_ent>,<no_ent>,why do you think so? <eou> brazil is a great team but they should put more effort into the game
<no_ent>,<no_ent>,i love senegal
<no_ent>,<no_ent>,i love senegal <eou> yeah me too <eou> who is the best player of senegal?
<no_ent>,<no_ent>,player of senegal? <eou> the best player in senegal is hadji diouf <eou> has they ever won a world cup?
senegal,sweden,"has they ever won a world cup? <eou> no, they have never won any <eou> who is the current coach?"
<no_ent>,<no_ent>,<eou> who is the current coach? <eou> aliou cisse is the coach <eou> what is their current fifa ranking ?
<no_ent>,<no_ent>,who is senegal's best player?
<no_ent>,<no_ent>,senegal's best player? <eou> sadio mane <eou> did you think they were fun to watch in the 2018 world cup?
<no_ent>,<no_ent>,has so much speed. european clubs seem slow by comparison sometimes. <eou> do you think senegal is better than nigeria?
<no_ent>,<no_ent>,<eou> they are a better club. not by a lot but they are better <eou> what colors are senegal's jerseys?
<no_ent>,<no_ent>,better <eou> what colors are senegal's jerseys? <eou> senegal jersey is green. <eou> who is the best player in nigeria?
<no_ent>,<no_ent>,i absolutely adore mexico
<no_ent>,<no_ent>,are doing well considering that their national league is not that strong. <eou> where do most of their players play?
<no_ent>,<no_ent>,<eou> where do most of their players play? <eou> estadio azteca. <eou> do any mexicans play in the uk league?
<no_ent>,<no_ent>,any mexicans play in the uk league? <eou> i don't think so <eou> have they ever won a world cup?
<no_ent>,<no_ent>,ever won a world cup? <eou> no they never have <eou> are they capable of winning the next world cup?
<no_ent>,<no_ent>,do you think argentina is all about messi?
<no_ent>,<no_ent>,do you think argentina is all about messi? <eou> not really! <eou> one person can't make a winning team.
<no_ent>,<no_ent>,a winning team. <eou> no but messi is there star player <eou> there are other great players there too though
<no_ent>,<no_ent>,there too though <eou> to all the bad players out there... <eou> no one will ever replace messi in argentina.
<no_ent>,<no_ent>,will likely replace messi as an attacking striker or midfield when he retires. <eou> when did lionel messi join argentina?
<no_ent>,<no_ent>,i really love the team ac milan
<no_ent>,<no_ent>,"i really love the team ac milan <eou> yes,true.me too <eou> do you like them because of their winning streak?"
<no_ent>,<no_ent>,"team in the past few years, their defense is really good. <eou> what kind of tournament does this team play?"
<no_ent>,<no_ent>,"their domestic league and cup, ac milan qualified for the 2018/19 uefa europa league. <eou> what are their summer transfers?"
<no_ent>,<no_ent>,quite a few but the most expensive was gonzalo higuaín from juventes. <eou> do you think higuaín was worth it?
<no_ent>,<no_ent>,i like the team switzerland
<no_ent>,<no_ent>,european side but not the best <eou> did switzerland progress from the group stage of the 2018 fifa world cup?
<no_ent>,<no_ent>,"they did not reach the goal they want, they need to improve a lot, but it is a good team"
<no_ent>,<no_ent>,"good team, however, the competition may be stronger <eou> switzerland have a decent side considering there league isn’t the best"
<no_ent>,<no_ent>,there league isn’t the best <eou> what do you think of shaqiri <eou> he has a great deal of style
<no_ent>,<no_ent>,will borussia dortmund finish ahead of bayern munich this coming season?
<no_ent>,<no_ent>,<eou> i'm hoping there's a chance of that <eou> what would they have to do to be sure of it?
<no_ent>,<no_ent>,of it? <eou> beat them both times they face them <eou> what would dortmund have to do to assure that?
<no_ent>,<no_ent>,to do to assure that? <eou> practice twice as much <eou> does bvb dortmund have the best fans in germany?
<no_ent>,<no_ent>,bvb dortmund have the best fans in germany? <eou> of course and the biggest arena. <eou> why they are big?
<no_ent>,<no_ent>,where is senegal located?
